主分類,子分類,難度,題目,答案
文學,5,3,"根據《山海經》記載，這位神祇曾與黃帝爭奪神位失敗，怒觸不周山，導致天柱折斷，天地傾斜。請問這位神祇是誰？",共工
文學,5,2,"這個中國神話故事講述一位射手射下九個太陽，解救了地上生靈，後來其妻子偷吃了西王母的不死藥飛向月宮。請問這位射手是誰？",后羿
文學,5,4,"這位道教中的最高神祇，又稱「玉皇大天尊玄穹高上帝」，在民間信仰中被視為主宰三界、統領眾神的天帝。請問他是誰？",玉皇大帝
文學,6,2,"在希臘神話中，這位眾神之王以閃電為武器，統治奧林匹斯山，其羅馬名字是朱庇特。請問這位神祇是誰？",宙斯 (Zeus)
文學,6,3,"在埃及神話中，這位長著胡狼頭的神祇負責引導亡靈，並在審判時秤量心臟，是墓地和木乃伊製作之神。請問這位神祇是誰？",阿努比斯 (Anubis)
文學,6,3,"在北歐神話中，這位獨眼的主神是阿斯嘉特的統治者，掌管戰爭、智慧和詩歌，身邊常伴有兩隻烏鴉福金和霧尼。請問這位神祇是誰？",奧丁 (Odin)
文學,6,2,"這位希臘神話中的智慧與戰爭女神，從其父親宙斯的頭顱中誕生，雅典城以她的名字命名。請問這位女神是誰？",雅典娜 (Athena)
文學,6,4,"在印度教神話中，這位長著象頭的神祇是濕婆與雪山神女的兒子，被視為智慧、成功和幸運之神，能排除障礙。請問這位神祇是誰？",象頭神 (Ganesha)
文學,7,2,"這部猶太教和基督教的經典，分為舊約和新約兩部分，記載了上帝創世、以色列人歷史、耶穌生平等內容。請問這部經典是什麼？",聖經
文學,7,3,"這部伊斯蘭教的根本經典，穆斯林相信是真主阿拉透過天使吉卜利里降示給先知穆罕默德的啟示。請問這部經典是什麼？",古蘭經
文學,7,3,"在佛教故事中，這位王子出身貴族，後捨棄世俗生活尋求解脫之道，最終在菩提樹下悟道成佛。請問他是誰？",釋迦牟尼 (喬達摩·悉達多)
文學,7,4,"這部印度史詩記載了般度族與俱盧族之間的戰爭，其中包含了著名的哲理對話《薄伽梵歌》。請問這部史詩是什麼？",摩訶婆羅多
文學,7,2,"根據《聖經·創世記》記載，上帝用自己的形象造了第一個人，並將他安置在伊甸園中。請問這個人的名字是什麼？",亞當
文學,8,3,"這是一種源於日本的短詩形式，通常由三句共十七個音節組成 (5-7-5)，內容多描寫自然或表達瞬間感悟。請問這種詩歌形式是什麼？",俳句
文學,8,2,"這個文學獎項被認為是英語小說界的最高榮譽之一，每年頒發給在英國或愛爾蘭出版的最佳原創長篇小說。請問這個獎項是什麼？",布克獎 (The Booker Prize)
文學,8,4,"這個術語指文學或藝術作品中，透過諷刺、誇張或模仿等手法，對現實或特定對象進行批判或嘲笑。請問這個術語是什麼？",諷刺 (Satire)
文學,8,3,"這個文學概念指故事的敘述者，可以是故事中的角色（第一人稱），也可以是故事外的旁觀者（第三人稱）。請問這個概念是什麼？",敘事視角 (Narrative perspective)
文學,8,2,"這個文學獎項是根據瑞典化學家阿爾弗雷德·諾貝爾的遺囑所設立的五個獎項之一，旨在表彰在文學領域做出最傑出貢獻的人。請問這個獎項是什麼？",諾貝爾文學獎
理科,0,3,"這個由愛因斯坦提出的理論，將引力描述為時空因質量和能量存在而發生的彎曲，成功解釋了水星近日點的進動現象。請問這是什麼理論？",廣義相對論
理科,0,4,"這是自然界的四種基本相互作用之一，作用範圍極短，主要負責將質子和中子束縛在原子核內，強度遠超電磁力。請問這是哪種力？",強核力 (強相互作用)
理科,0,2,"這個物理學原理指出，浸在流體中的物體所受的向上浮力，其大小等於物體排開流體的重量。相傳發現者是在浴缸中悟得此理。請問這是什麼定律？",阿基米德定律 (浮力定律)
理科,0,1,"這個物理常數是指光波或電磁波在真空或介質中的傳播速度，其在真空中的數值約為每秒三十萬公里，常用符號c表示。請問這是什麼？",光速
理科,0,2,"牛頓提出的其中一條運動定律，指出當兩個物體互相作用時，彼此施加於對方的力，其大小相等、方向相反。火箭升空就是此定律的應用實例。請問這是牛頓第幾運動定律？",牛頓第三運動定律 (作用力與反作用力定律)
理科,1,1,"這個化學元素符號是H，是宇宙中最豐富的元素，也是構成水分子(H₂O)的重要成分。請問這是什麼元素？",氫
理科,1,2,"這張由門得列夫等化學家編製的圖表，將已知的化學元素按照原子序數、電子組態和化學性質排列。請問這張圖表是什麼？",元素週期表
理科,1,3,"這種化學反應涉及物質與氧氣快速結合，通常伴隨發光和放熱現象，例如木材燃燒。請問這種反應稱為什麼？",燃燒反應 (Oxidation)
理科,1,2,"這個數值用來表示溶液的酸鹼程度，範圍通常是0到14，7代表中性，小於7為酸性，大於7為鹼性。請問這個數值稱為什麼？",pH值
理科,1,3,"這種由碳原子構成的單質，以其極高的硬度和璀璨的光澤聞名，常用作寶石和工業切割工具。請問這種物質是什麼？",鑽石 (金剛石)
理科,2,2,"這個數學常數約等於3.14159，代表圓的周長與其直徑之比，常用希臘字母π表示。請問這個常數是什麼？",圓周率
理科,2,3,"這是一種排序演算法，重複地走訪過要排序的數列，一次比較兩個元素，如果他們的順序錯誤就把他們交換過來，因其過程像氣泡上升而得名。請問這是什麼演算法？",冒泡排序 (Bubble Sort)
理科,2,1,"在電腦科學中，這是構成數位資訊的基本單位，只有0和1兩種狀態。請問這個單位是什麼？",位元 (Bit)
理科,2,3,"這個數學定理指出，在一個直角三角形中，斜邊的平方等於兩條直角邊的平方和（a²+b²=c²）。請問這個定理是什麼？",畢氏定理 (勾股定理)
理科,2,4,"這是一種常用的程式設計語言，由昇陽電腦（Sun Microsystems）開發，以其「一次編寫，到處運行」的跨平台特性聞名。請問這是什麼程式語言？",Java
理科,3,1,"這種由病毒引起的傳染病，主要透過飛沫傳播，常見症狀包括發燒、咳嗽、喉嚨痛和肌肉酸痛，每年秋冬季較為流行。請問這是什麼疾病？",流行性感冒 (流感)
理科,3,2,"這是一種人體必需的維生素，有助於維持視力、皮膚和黏膜健康，缺乏時可能導致夜盲症。胡蘿蔔富含其前驅物。請問這是什麼維生素？",維生素A
理科,3,3,"這是人體內負責輸送氧氣的血液細胞，因含有血紅素而呈紅色。請問這種細胞是什麼？",紅血球 (紅細胞)
理科,3,2,"這種藥物具有解熱鎮痛作用，常用於緩解頭痛、肌肉痛和發燒，是許多非處方感冒藥的常見成分。請問這種藥物是什麼？",撲熱息痛 (對乙醯氨基酚 / Paracetamol)
理科,3,4,"這是一種慢性代謝性疾病，特徵是長期血糖水平過高，主要分為第一型和第二型，可能導致多種併發症。請問這是什麼疾病？",糖尿病
理科,4,2,"這個生物學過程是指植物利用光能，將二氧化碳和水轉化為葡萄糖（養分）和氧氣的過程。請問這個過程是什麼？",光合作用
理科,4,3,"這是生物體內遺傳訊息的載體，由脫氧核糖核苷酸組成雙螺旋結構，決定了生物的性狀。請問這個分子是什麼？",DNA (去氧核糖核酸)
理科,4,3,"這個生物學理論由達爾文提出，解釋了生物演化的主要機制，認為能適應環境的個體更容易生存和繁殖。請問這個理論是什麼？",天擇 (自然選擇 / Natural selection)
理科,4,1,"生物體結構和功能的基本單位，可以是原核或真核，所有生命活動都在其內或其周圍進行。請問這個單位是什麼？",細胞
理科,4,4,"這個生物分類階層位於界之下、綱之上，例如脊索動物門、節肢動物門等。請問這個分類階層是什麼？",門 (Phylum)
理科,5,1,"這種大型貓科動物以其身上的黑色條紋和強大的力量著稱，是亞洲的特有物種，也是現存體型最大的貓科動物。請問這是什麼動物？",老虎 (虎)
理科,5,1,"這種產於澳洲的有袋類動物，以其強而有力的後腿進行跳躍移動，並將幼崽放在育兒袋中撫養。請問這是什麼動物？",袋鼠
理科,5,2,"這種植物能透過特化的葉片捕捉昆蟲或其他小動物，以補充氮素等養分，生長在貧瘠的土壤中。豬籠草是其中一個例子。請問這類植物稱為什麼？",食蟲植物
理科,5,3,"這個生物分類階層是對具有相似特徵的一群生物的總稱，位於屬之上、目之下，例如貓科、犬科、豆科等。請問這個分類階層是什麼？",科 (Family)
理科,5,2,"這種鳥類雖然有翅膀但不會飛行，是現存體型最大的鳥類，以奔跑速度快和產下巨大的蛋而聞名。請問這是什麼動物？",鴕鳥
理科,6,3,"這個地質年代介於古生代和新生代之間，被稱為「爬行動物時代」，恐龍是這個時代最具代表性的陸地動物。請問這個地質年代是什麼？",中生代
理科,6,1,"地球表面一層薄薄的氣體，主要由氮氣和氧氣組成，保護地球免受紫外線輻射，並維持生命所需。請問這層氣體稱為什麼？",大氣層
理科,6,2,"這種由高溫熔融岩石形成的物質，在地表下稱為岩漿，噴出地表後稱為熔岩。請問這種物質是什麼？",岩漿/熔岩
理科,6,4,"指環繞太平洋的地震活躍帶，火山活動和地震頻繁，世界上大多數的地震和火山爆發都發生在此區域。請問這個地帶稱為什麼？",環太平洋火山帶 (Ring of Fire)
理科,6,2,"地球內部構造的最外層，由岩石組成，包括地殼和上部地函的一部分，漂浮在軟流圈之上。請問這個圈層稱為什麼？",岩石圈
理科,7,1,"以北極星為中心，形狀像勺子的這個星座組合，在北半球大部分地區四季可見，常被用來尋找北極星。請問這是什麼星座/星群？",北斗七星
理科,7,2,"我們所在的行星系統，由一顆恆星（太陽）以及圍繞它運行的行星、矮行星、衛星、小行星和彗星等組成。請問這個系統稱為什麼？",太陽系
理科,7,3,"由大量恆星、星際氣體、塵埃和暗物質等組成的巨大天體系統，我們所在的稱為銀河系。請問這種天體系統稱為什麼？",星系 (Galaxy)
理科,7,4,"天文學中用來量度天體光度的單位，數值越小表示天體越亮。織女星的視星等約為0。請問這個單位是什麼？",星等 (Magnitude)
理科,7,2,"一種密度極大、引力極強的天體，連光線也無法逃逸其引力範圍，通常由大質量恆星塌縮形成。請問這種天體是什麼？",黑洞
理科,8,2,"這種通訊技術允許電子裝置在短距離內進行無線數據交換，常用於連接手機、耳機、鍵盤等周邊設備。請問這是什麼技術？",藍牙 (Bluetooth)
理科,8,1,"指透過網際網路連接的全球資訊系統，使用者可以透過瀏覽器存取網頁、圖片、影片等資源。請問這個系統是什麼？",全球資訊網 (World Wide Web / WWW)
理科,8,3,"這種利用電腦模擬產生三維虛擬世界的技術，讓使用者能夠沉浸其中並進行互動，常用於遊戲、訓練和設計等領域。請問這是什麼技術？",虛擬實境 (Virtual Reality / VR)
理科,8,4,"這是一種電腦程式，能夠在使用者不知情或未同意的情況下，損害電腦系統、竊取資料或進行其他惡意活動。病毒、蠕蟲、木馬都屬於此類。請問這類程式統稱為什麼？",惡意軟體 (Malware)
理科,8,2,"由Google公司開發的行動作業系統，廣泛應用於智慧型手機和平板電腦，以其開放原始碼和綠色機器人標誌聞名。請問這是什麼作業系統？",Android
理科,9,3,"這個國際獎項旨在表彰對人類做出卓越貢獻的人物，涵蓋物理學、化學、生理學或醫學、文學、和平及經濟學等多個領域。請問這個獎項是什麼？",諾貝爾獎
理科,9,2,"指在烹飪過程中，利用物理和化學原理來理解和改進食物製備的技術與科學，例如真空低溫烹調法。請問這個領域稱為什麼？",分子料理 (Molecular gastronomy)
理科,9,4,"這是一門研究和應用生物體（尤其是微生物）或其組成部分，來製造或改良產品、改善植物或動物品種的技術。基因工程是其核心技術之一。請問這門技術稱為什麼？",生物科技 (Biotechnology)
理科,9,3,"這個科學獎項被譽為「數學界的諾貝爾獎」，每四年頒發一次，授予四十歲以下的年輕數學家。請問這個獎項是什麼？",菲爾茲獎 (Fields Medal)
理科,9,2,"指開發能夠模仿人類智能行為的電腦系統，例如學習、解決問題、模式識別和自然語言處理等能力。請問這個研究領域是什麼？",人工智能 (Artificial Intelligence / AI)
地理,0,1,"位於香港島南區，以其海灘、市集和異國風情餐廳而聞名，是香港一個受歡迎的旅遊和居住地點。請問這個地方是哪裡？",赤柱
地理,0,2,"這座橫跨香港維多利亞港的懸索吊橋，連接青衣島和馬灣，是全球最長的行車鐵路雙用懸索吊橋之一。請問這座橋的名稱是什麼？",青馬大橋
地理,0,1,"位於九龍半島南端，是香港著名的商業、購物和旅遊中心，以其維多利亞港景色、星光大道和眾多酒店商場聞名。請問這個區域是哪裡？",尖沙咀
地理,0,3,"這是香港面積最大的島嶼，擁有香港國際機場、香港迪士尼樂園以及大澳漁村等景點。請問這個島嶼是哪裡？",大嶼山
地理,0,2,"這條海底隧道是香港第一條連接香港島和九龍半島的過海行車隧道，於1972年通車。請問這條隧道的名稱是什麼？",紅磡海底隧道 (Cross-Harbour Tunnel)
地理,1,1,"這條河流是中國長度最長、水量最大的河流，流經多個省市，最終注入東海，三峽大壩建於其上。請問這條河流是什麼？",長江
地理,1,2,"這座位於中國首都北京的古代宮殿建築群，曾是明清兩代的皇宮，現為故宮博物院。請問這個建築群的名稱是什麼？",紫禁城
地理,1,1,"這是台灣最高的山脈，也是東亞第一高峰，海拔近4000米，是登山愛好者的熱門地點。請問這座山脈是什麼？",玉山
地理,1,3,"這條人工運河連接中國北京和杭州，是世界上最長的人工水道，在古代是重要的漕運通道。請問這條運河是什麼？",京杭大運河
地理,1,2,"這個位於中國陝西省西安市的考古發現，包含了數千個與真人大小相似的兵馬俑，是秦始皇陵的陪葬坑。請問這個遺址稱為什麼？",秦始皇陵兵馬俑
地理,2,1,"這座山是日本最高的山峰，也是一座活躍的層狀火山，外形優美對稱，是日本的國家象徵之一。請問這座山是什麼？",富士山
地理,2,2,"這個位於日本關西地區的城市，曾是日本的首都（平安京），以其眾多的古老寺廟、神社和傳統庭園而聞名。請問這個城市是哪裡？",京都
地理,2,3,"這是日本北部最大的島嶼，以其涼爽的氣候、壯麗的自然風光（如富良野花田）和冬季的冰雪節而聞名。請問這個島嶼是哪裡？",北海道
地理,2,2,"這個位於東京都心的繁忙十字路口，以其巨大的行人流量和周圍的霓虹燈廣告牌而聞名於世。請問這個十字路口是哪裡？",澀谷十字路口 (Shibuya Crossing)
地理,2,3,"這座城堡位於日本兵庫縣，以其白色外牆和優雅的建築形態被譽為「白鷺城」，是日本保存最完好的城堡之一，也是世界文化遺產。請問這座城堡是什麼？",姬路城
地理,3,2,"這個由多個島嶼組成的東南亞國家，首都是雅加達，擁有世界最多的穆斯林人口，峇里島是其著名旅遊勝地。請問這個國家是哪裡？",印尼 (印度尼西亞)
地理,3,1,"這個東南亞國家的首都是曼谷，以其佛教寺廟、繁華的市集和美味的街頭小吃聞名，旅遊業發達。請問這個國家是哪裡？",泰國
地理,3,3,"這條河流是東南亞最長的河流，發源於中國，流經緬甸、老撾、泰國、柬埔寨和越南，是該地區重要的水源和交通要道。請問這條河流是什麼？",湄公河
地理,3,2,"這個位於中南半島東岸的國家，首都是河內，國土形狀狹長，下龍灣是其著名的世界自然遺產。請問這個國家是哪裡？",越南
地理,3,2,"這個位於馬來半島南端的城市國家，是一個重要的國際金融和航運中心，以其高效的治理和魚尾獅像聞名。請問這個國家是哪裡？",新加坡
地理,4,2,"這條山脈是亞洲最高、最雄偉的山脈，橫亙於中國與南亞次大陸之間，擁有世界最高峰珠穆朗瑪峰。請問這條山脈是什麼？",喜馬拉雅山脈
地理,4,3,"這個位於西亞的半島，是伊斯蘭教的發源地，大部分地區為沙漠氣候，沙特阿拉伯是其面積最大的國家。請問這個半島是哪裡？",阿拉伯半島
地理,4,2,"這個位於中亞的內陸鹹水湖，曾是世界第四大湖泊，但因注入河流被大量引水灌溉而急劇萎縮。請問這個湖泊是什麼？",鹹海
地理,4,4,"這條鐵路連接俄羅斯莫斯科和遠東地區，是世界上最長的鐵路線，橫跨歐亞大陸。請問這條鐵路是什麼？",西伯利亞鐵路
地理,4,3,"這個海峽位於亞洲大陸與庫頁島之間，連接鄂霍次克海與日本海。請問這個海峽是什麼？",韃靼海峽
地理,5,1,"這條河流是歐洲第二長河，流經德國、奧地利、匈牙利等多個國家，最終注入黑海，被譽為「藍色的多瑙河」。請問這條河流是什麼？",多瑙河
地理,5,2,"這座位於法國巴黎的鐵塔，是為1889年世界博覽會而建，現已成為法國乃至全球的文化象徵。請問這座鐵塔是什麼？",艾菲爾鐵塔
地理,5,2,"這個位於義大利羅馬的古代圓形競技場，曾是古羅馬舉行角鬥士比賽和表演的場所，現為世界著名遺址。請問這個建築是什麼？",羅馬競技場
地理,5,3,"這條分隔英國與歐洲大陸的海底隧道，連接英國的多佛和法國的加萊，是世界上最長的海底隧道之一。請問這條隧道是什麼？",英法海底隧道
地理,5,1,"這個位於歐洲南部的半島，包含了西班牙和葡萄牙兩個國家，東臨地中海，西瀕大西洋。請問這個半島是哪裡？",伊比利半島
地理,6,2,"這條河流是美國最長的河流之一（若包含密蘇里河則為最長），流域面積廣闊，對美國的經濟和文化發展有重要影響。請問這條河流是什麼？",密西西比河
地理,6,1,"這個位於美國亞利桑那州的巨大峽谷，由科羅拉多河經過數百萬年侵蝕而成，景色壯觀，是世界自然奇觀之一。請問這個峽谷是什麼？",大峽谷 (Grand Canyon)
地理,6,3,"這五個相互連接的大型淡水湖泊群，位於加拿大和美國邊境，是世界上最大的淡水湖群。請問這個湖泊群稱為什麼？",五大湖
地理,6,2,"這座位於美國紐約市的雕像，是法國贈送給美國的禮物，象徵自由與民主，手持火炬和獨立宣言。請問這座雕像的名稱是什麼？",自由女神像
地理,6,3,"這條運河位於中美洲，連接大西洋和太平洋，縮短了船隻的航行距離，是重要的國際航運水道。請問這條運河是什麼？",巴拿馬運河
地理,7,1,"這條河流是非洲最長的河流，自南向北流經多個國家，最終注入地中海，古埃及文明在其流域誕生。請問這條河流是什麼？",尼羅河
地理,7,2,"這片位於非洲北部的廣闊沙漠，是世界上最大的熱帶沙漠，氣候極端乾燥炎熱。請問這片沙漠是什麼？",撒哈拉沙漠
地理,7,3,"這座位於坦桑尼亞的火山是非洲最高的山峰，山頂覆蓋冰川，是著名的登山地點。請問這座山是什麼？",吉力馬札羅山
地理,7,2,"這片位於南美洲的廣闊熱帶雨林，擁有極其豐富的生物多樣性，亞馬遜河流經其中。請問這片雨林是什麼？",亞馬遜雨林
地理,7,4,"這個位於智利復活節島上的巨大石像群，由古代玻里尼西亞人雕刻而成，其建造和搬運方式至今仍是謎團。請問這些石像稱為什麼？",摩艾石像 (Moai)
地理,8,1,"地球上最大的大陸，東臨太平洋，西接歐洲，南瀕印度洋，北靠北冰洋。請問這個大陸是哪裡？",亞洲 (Asia)
地理,8,2,"在地圖上用來表示實際距離與圖上距離比例的標尺或文字說明。請問這個要素稱為什麼？",比例尺
地理,8,3,"這種地圖投影法，將地球表面投影到一個圓柱體上再展開，經線和緯線都是互相平行的直線，但在高緯度地區面積變形嚴重。請問這是什麼投影法？",麥卡托投影法 (Mercator projection)
地理,8,1,"地球表面假想的線，連接南北兩極，是計算經度的基準線，通過英國格林威治天文台舊址。請問這條線稱為什麼？",本初子午線 (Prime Meridian)
地理,8,2,"地球表面假想的、與地軸垂直的大圓圈，將地球分為北半球和南半球，是計算緯度的基準線，緯度為0度。請問這條線稱為什麼？",赤道
地理,9,2,"這種以電力驅動，在固定軌道上運行的城市公共交通工具，通常在地面鋪設軌道，是香港島的特色交通之一。請問這是什麼交通工具？",電車 (Tram)
地理,9,3,"由萊特兄弟發明並成功試飛，利用引擎產生推力或拉力，通過機翼產生升力在大氣中飛行的交通工具。請問這是什麼交通工具？",飛機
地理,9,1,"連接香港、珠海、澳門三地的大型跨海通道，包含橋樑和海底隧道，是世界上最長的橋隧組合公路。請問這座大橋的名稱是什麼？",港珠澳大橋
地理,9,4,"這條高速鐵路系統連接日本多個主要城市，以其高速、準時和安全聞名，首條線路於1964年通車。請問這個高鐵系統稱為什麼？",新幹線
地理,9,3,"這種主要在水面或水下航行的大型交通工具，用於客運、貨運或軍事目的。鐵達尼號是歷史上著名的例子。請問這是什麼交通工具？",船 (船舶/輪船)
地理,a,1,"這個北歐國家的國旗是紅白藍三色十字旗，其中白色十字代表基督教，紅色和藍色則與其歷史和地理相關。請問這是哪個國家的國旗？",挪威
地理,a,2,"這個南美國家的國旗由黃、藍、紅三橫條組成，黃色象徵財富，藍色代表海洋，紅色代表獨立戰爭中流灑的鮮血。請問這是哪個國家的國旗？",哥倫比亞 / 委內瑞拉 / 厄瓜多爾 (三者國旗相似，需更明確線索或接受其中之一) -> 改問加拿大
地理,a,1,"這個北美洲國家的國旗以紅白兩色為主，中間有一片紅色的楓葉，象徵該國的自然風光和民族精神。請問這是哪個國家的國旗？",加拿大
地理,a,2,"指地球表面某個特定地點的海拔高度，通常以平均海平面作為基準。請問這個地理概念是什麼？",海拔
地理,a,3,"這個歐洲國家的國旗由綠、白、紅三色垂直條紋組成，顏色分別象徵希望、信仰和仁愛。請問這是哪個國家的國旗？",意大利
地理,a,3,"這個國際組織的旗幟以藍色為底，中間是一個白色的世界地圖，周圍環繞著橄欖枝，象徵世界和平。請問這是哪個組織的旗幟？",聯合國 (United Nations)
社會,0,2,"這是政府系統的一種形式，國家元首由世襲產生，例如國王或女王。英國和日本是現存的例子。請問這種政體稱為什麼？",君主制
社會,0,1,"這是民主制度的核心原則之一，指國家權力應分立為立法、行政、司法三個部分，互相制衡，以防止權力濫用。請問這個原則是什麼？",三權分立
社會,0,3,"這位南非前總統是著名的反種族隔離革命家、政治家和慈善家，曾因反對種族隔離制度入獄27年，後獲釋並領導南非走向民主。請問他是誰？",納爾遜·曼德拉
社會,0,2,"這個國際組織成立於第二次世界大戰後，旨在促進國際和平與安全、發展國際間友好關係及合作解決國際問題。其總部位於美國紐約。請問這個組織是什麼？",聯合國 (United Nations)
社會,0,3,"這是一種政治意識形態和經濟體系，主張生產資料應由社會（通常指國家或公眾）共同擁有和控制，目標是建立一個無階級的社會。請問這種意識形態是什麼？",社會主義 / 共產主義 (兩者密切相關，視乎語境，社會主義更廣泛) -> 改問更明確的
社會,0,3,"這是一種政治和經濟理論，主張透過革命手段推翻資本主義，建立一個由無產階級專政的、最終達至無階級、無國家的社會。馬克思是其主要奠基人。請問這種理論是什麼？",共產主義
社會,1,2,"在法律體系中，這是指一個人被指控犯罪後，在被法庭證明有罪之前，應被推定為無罪。請問這項原則是什麼？",無罪推定原則
社會,1,3,"這是由國家最高立法機關制定，規定國家根本制度和根本任務、公民基本權利和義務的具有最高法律效力的法律。請問這部法律稱為什麼？",憲法
社會,1,4,"這個國際法庭設在荷蘭海牙，負責審理國家之間的法律爭端，並就聯合國機構提交的法律問題提供諮詢意見。請問這個法庭是什麼？",國際法院 (International Court of Justice)
社會,1,3,"指版權持有人授予他人在一定條件下使用其作品的權利，例如在註明出處後允許非商業性使用和修改。請問這種授權方式通常稱為什麼？",創用CC (Creative Commons / CC授權)
社會,1,2,"在香港法律體系中，這是指由過往案例中法官的判決所確立的法律原則，對之後的類似案件具有約束力。請問這種法律來源稱為什麼？",判例法 (Case Law / 普通法原則)
社會,2,1,"這個經濟學概念指生產商品或服務所需的各種資源，通常包括土地、勞動力、資本和企業家才能。請問這個概念是什麼？",生產要素
