question,answer,difficulty,topic,subtopic
這位英國數學家被譽為「計算機科學之父」，他在二戰期間破解納粹德國的密碼「恩尼格碼」，後來提出了著名的圖靈測試來判斷機器是否具有智能。請問這位數學家是誰？,圖靈,3.5,理科,數學、電腦科學
這個數學概念是無窮小變化量的累積，可以用來計算曲線下的面積或變化率，由牛頓和萊布尼茲獨立發明。請問這是什麼數學工具？,微積分,3.0,理科,數學、電腦科學
"這個數列從0和1開始，之後的每一項都是前兩項的和，如：0, 1, 1, 2, 3, 5, 8...，在自然界中常見，如向日葵的種子排列和松果的螺旋。請問這是什麼數列？",斐波那契數列,3.0,理科,數學、電腦科學
這種程式語言由丹麥電腦科學家 Bjarne Stroustrup 於1979年開始開發，是C語言的擴展，支援物件導向程式設計。請問這是什麼程式語言？,C++,3.5,理科,數學、電腦科學
這位英國細菌學家於1928年意外發現了第一種抗生素，它能夠殺死葡萄球菌。這種藥物在第二次世界大戰期間拯救了無數士兵的生命。請問這位科學家是誰？,佛萊明（弗萊明）,4.0,理科,醫學、衛生
這種疾病由一種RNA病毒引起，主要透過蚊子傳播，症狀包括高燒、頭痛、關節痛，嚴重時可引起出血和休克，在熱帶和亞熱帶地區常見。請問這是什麼疾病？,登革熱,4.5,理科,醫學、衛生
這個人體最大的器官覆蓋全身，具有保護、感覺、調節體溫等功能，由表皮、真皮和皮下組織三層構成。請問這是什麼器官？,皮膚,2.0,理科,醫學、衛生
這項手術是將一個人的器官或組織移植到另一個人體內，以取代受損或功能不全的器官。第一例成功的此類手術是1954年在美國進行的腎臟移植。請問這是什麼醫療程序？,器官移植,2.5,理科,醫學、衛生
這種醫學掃描技術利用強大的磁場和無線電波產生人體內部的詳細圖像，特別適合觀察軟組織，沒有X光的輻射風險。請問這是什麼掃描技術？,磁共振成像（核磁共振）,3.5,理科,醫學、衛生
這兩位科學家於1953年提出了DNA的雙螺旋結構模型，為之後的分子生物學和遺傳學研究奠定基礎，並因此獲得1962年諾貝爾獎。請問這兩位科學家的姓氏是什麼？,沃森和克里克,4.0,理科,生物學
這位奧地利修道院院長被稱為「遺傳學之父」，他通過豌豆雜交實驗發現了基因遺傳的規律，包括顯性和隱性特徵。請問這位科學家是誰？,孟德爾,4.0,理科,生物學
這個生物學過程是植物、藻類和某些細菌利用光能將二氧化碳和水轉化為葡萄糖和氧氣，是地球上大多數生命存在的基礎。請問這是什麼過程？,光合作用,2.0,理科,生物學
這個生物學理論由查爾斯·達爾文在1859年提出，核心概念是物種通過自然選擇和適者生存逐漸變化，解釋了生物多樣性的形成。請問這是什麼理論？,進化論,2.5,理科,生物學
這種細胞器被稱為「細胞的動力工廠」，負責產生細胞活動所需的能量，通過氧化分解葡萄糖產生ATP。請問這是什麼細胞器？,粒線體,3.5,理科,生物學
這種鳥類用直而尖銳的喙在樹皮上鑿洞，然後用帶鉤的舌頭鉤出樹木的蛀蟲進食，因此有「樹木醫生」的稱號。請問這是什麼鳥？,啄木鳥,2.5,理科,動植物
這種海洋哺乳動物是地球上最大的動物，可長達30米，重達180噸，以磷蝦為食，通過濾食方式進食。請問這是什麼動物？,藍鯨,3.0,理科,動植物
這種植物屬於食蟲植物，有著像捕蠅夾一樣的葉子，當昆蟲觸碰到葉子上的感應毛時，葉子會迅速閉合捕捉獵物。請問這是什麼植物？,捕蠅草,3.5,理科,動植物
這種昆蟲是完全變態的代表，經過卵、幼蟲、蛹、成蟲四個階段，其幼蟲以植物為食，成蟲有鱗粉覆蓋的翅膀，是重要的授粉者。請問這是什麼昆蟲？,蝴蝶,2.0,理科,動植物
這種爬行動物的特點是有一個堅硬的殼保護身體，可以把頭和四肢縮進殼內，壽命極長，有些種類可以活到100多歲。請問這是什麼動物？,烏龜,2.0,理科,動植物
這個地質學說認為地球的岩石圈是由若干板塊構成，這些板塊漂浮在軟流圈上，彼此之間的運動導致了地震、火山等地質現象。請問這是什麼學說？,板塊構造學說,4.0,理科,地球科學
這位德國氣象學家於1912年提出大陸漂移說，他認為所有大陸原本是連在一起的，後來分裂並漂移到現在的位置，證據包括海岸線吻合和化石分布等。請問這位科學家是誰？,魏格納,4.5,理科,地球科學
這種洞穴中常見的石灰岩沉積物，從洞穴頂部垂下，由溶解在水中的碳酸鈣沉積形成，生長非常緩慢。請問這是什麼地質結構？,鍾乳石,2.5,理科,地球科學
這種地質現象指湖泊、海洋等水體中氮、磷等營養物質含量過多，導致藻類大量繁殖，引起水質污染，甚至形成紅潮。請問這是什麼現象？,富營養化,5.0,理科,地球科學
這種地質時期是恐龍繁盛的時代，持續約1.8億年，分為三疊紀、侏羅紀和白堊紀，在白堊紀末期因小行星撞擊導致恐龍滅絕。請問這是什麼地質時期？,中生代,4.0,理科,地球科學
這位德國天文學家提出了三大行星運動定律，包括行星沿橢圓軌道運行、面積定律和週期平方與軌道半長軸立方成正比的關係。請問這位天文學家是誰？,開普勒,4.0,理科,天文學
這個天體是太陽系中最大的行星，有一個著名的大紅斑，是一場持續了數百年的風暴，還有至少79顆衛星。請問這是什麼行星？,木星,2.5,理科,天文學
這種天文現象是恆星生命的終結方式之一，當大質量恆星耗盡核燃料後，其核心突然塌縮，外層物質被猛烈拋出，產生巨大的爆炸。請問這是什麼現象？,超新星爆炸,4.0,理科,天文學
這個天文學術語指的是宇宙138億年前的一次劇烈膨脹，被認為是宇宙的起源，支持的證據包括宇宙微波背景輻射和宇宙膨脹。請問這是什麼理論？,大爆炸理論,3.5,理科,天文學
這種天體是由冰、塵埃和岩石組成，當接近太陽時，部分物質氣化形成彗髮和彗尾，最著名的是每76年回歸一次的哈雷彗星。請問這是什麼天體？,彗星,2.5,理科,天文學
這個功能是給有肢體障礙的用戶使用電腦的輔助，可以避免要求用戶同時按下多個功能鍵，在Windows系統中按Shift鍵5次可以打開。請問這個功能是什麼？,粘滯鍵,5.0,理科,科技、資訊科技
這種通訊技術使用2.4GHz頻段的無線電波進行短距離數據傳輸，名稱來源於10世紀丹麥國王的綽號，藍牙標誌結合了北歐兩個盧恩字母。請問這是什麼技術？,藍牙,3.0,理科,科技、資訊科技
這種程式被設計用來在未經授權的情況下收集用戶資訊或破壞電腦系統，通常透過電子郵件附件或網站下載傳播，名稱來源於希臘神話中的木馬。請問這是什麼惡意軟件？,特洛伊木馬,3.5,理科,科技、資訊科技
這種網絡協議是萬維網的基礎，用於在網絡上傳輸超文本，客戶端和服務器之間通過交換請求和響應來通信。請問這是什麼協議？,超文本傳輸協議（HTTP）,4.0,理科,科技、資訊科技
這種電腦儲存技術使用閃存儲存數據，沒有活動部件，比傳統硬盤更快、更耐用，現代電腦和手機多採用這種儲存裝置。請問這是什麼儲存技術？,固態硬盤（SSD）,3.0,理科,科技、資訊科技
這個單位用於測量聲音的強度，以0為人類聽覺閾值，以對數刻度增加，每增加10表示聲音強度增加10倍，一般認為85以上長期暴露可能導致聽力損傷。請問這是什麼單位？,分貝,3.0,理科,理科（其他）
這個科學原理解釋為什麼飛機能夠飛行，當空氣流過機翼時，機翼上方的空氣流動較快，壓力較低，從而產生向上的升力。請問這是什麼原理？,伯努利原理,4.0,理科,理科（其他）
這種現象是光的色散導致的，當陽光穿過空氣中的水滴時，不同波長的光被折射的角度不同，形成七種顏色的弧形光帶。請問這是什麼光學現象？,彩虹,2.0,理科,理科（其他）
這是一種常見的物理現象，當兩個頻率接近但不同的波相遇時，產生的聲音強度會周期性地變強和變弱，在音樂調音中非常有用。請問這是什麼現象？,拍頻,5.0,理科,理科（其他）
這個效應描述了運動物體發出的波對觀察者的頻率變化，當聲源靠近觀察者時，頻率增高；當遠離時，頻率降低，如救護車警笛經過時的聲音變化。請問這是什麼效應？,多普勒效應,4.0,理科,理科（其他）
這位科學家既是物理學家也是化學家，發現了放射性元素鐳和釙，是首位獲得兩次諾貝爾獎的人，一次化學獎一次物理獎。請問這位科學家是誰？,居里夫人,3.5,理科,理科Crossover
這個技術結合了物理學和醫學，利用放射性同位素示蹤劑在體內的分布來診斷疾病，產生人體器官的功能性圖像。請問這是什麼醫學成像技術？,正電子斷層掃描（PET）,4.5,理科,理科Crossover
這種現象涉及生物學和物理學，是指某些生物體能夠產生光，如螢火蟲和某些深海魚類，這是通過生物體內的化學反應將化學能轉化為光能。請問這是什麼現象？,生物發光,3.5,理科,理科Crossover
這個領域結合了電腦科學和生物學，使用計算機技術處理和分析生物數據，如基因序列、蛋白質結構等，在人類基因組計劃中發揮了關鍵作用。請問這是什麼學科？,生物信息學,4.5,理科,理科Crossover
這種技術結合了化學和物理學原理，用於分析物質的化學成分，通過測量樣品吸收或發射的電磁輻射，常用於環境監測、藥物分析等領域。請問這是什麼分析技術？,光譜分析,4.0,理科,理科Crossover
"這座山峰位於新界中部，海拔957米，比第二高峰高出23米，請問這個有「白霧纏繞」之稱的香港最高山峰是？",大帽山,5,地理,香港
"這條被稱為香港最長河流，全長37公里，流域面積約312平方公里，作為香港與中國大陸的天然邊界，請問這條河流是？",深圳河,5,地理,香港
"這個地區佔香港特區總面積約40%，共有24個，包括了大帽山、城門和獅子山等，請問這些保育及休閒之地是？",郊野公園,4.5,地理,香港
"它橫跨香港島與九龍半島之間，是香港的象徵之一，每晚8點都有「幻彩詠香江」燈光表演，請問這個被譽為世界三大夜景之一的港灣是？",維多利亞港,4,地理,香港
"香港第二高的山峰高934米，位於大嶼山，是觀賞日出日落的勝地，被選為「香港十大勝景」之一，請問這座山峰是？",鳳凰山,5,地理,香港
"這個全球最長的跨海大橋全長55公里，連接香港、珠海和澳門三地，被譽為「世界七大工程奇蹟」之一，請問這座於2018年通車的大橋是？",港珠澳大橋,4.5,地理,大中華地區
"這個被稱為「中國最美麗的城市」之一，因西湖而聞名，有著「上有天堂，下有蘇杭」的美譽，請問這個江南著名城市是？",杭州,5,地理,大中華地區
"這個中國第一長河流全長約6300公里，流經青海、四川、雲南等省份，最後流入東海，有着「黃金水道」的美譽，請問這條長江下游的重要港口城市是？",上海,4.5,地理,大中華地區
"這個位於中國大陸最南端的省份，是中國唯一的熱帶島嶼省份，被稱為「東方夏威夷」，請問這個著名的旅遊勝地是？",海南,4,地理,大中華地區
"這座山脈橫跨中國多個省份，總長約2500公里，被稱為「中華文明的搖籃」，孕育了黃河和長江兩大水系，請問這座中國南北分界線的山脈是？",秦嶺,5.5,地理,大中華地區
"這個日本最高的山，海拔3776米，是日本國家象徵，也是世界文化遺產，每年吸引數十萬遊客登頂，請問這座著名的活火山是？",富士山,4,地理,日本
"這個日本第二大島嶼，面積約83000平方公里，以雪景和溫泉著稱，曾舉辦冬季奧運會，請問這個位於日本最北端的島嶼是？",北海道,4,地理,日本
"這個日本古都曾是日本的首都長達千年之久，擁有多達17處世界文化遺產，以金閣寺和清水寺等古蹟聞名，請問這個保存了日本傳統文化的城市是？",京都,4.5,地理,日本
"這個日本第三大島是日本最南端的主要島嶼，面積約36000平方公里，以阿蘇火山和「仙人之鄉」高千穗峽等自然景觀聞名，請問這個島嶼是？",九州,5,地理,日本
"這條日本最長的河流，全長367公里，流經新潟縣和山形縣，自古以來對日本文化有重要影響，請問這條被譽為「母親之河」的河流是？",信濃川,5.5,地理,日本
"這個東南亞國家由上萬個島嶼組成，是世界上最大的群島國家，也是東南亞面積最大的國家，請問這個擁有「萬島之國」美譽的國家是？",印尼,4,地理,東南亞
"這個東南亞國家的首都曼谷，是唯一從未被歐洲國家殖民的東南亞國家，其國名在1939年前被稱為「暹羅」，請問這個佛教國家是？",泰國,4,地理,東南亞
"這個東南亞島國位於赤道上，全國由63個島嶼組成，面積僅700平方公里，卻是全球金融中心之一，請問這個被稱為「花園城市」的國家是？",新加坡,4,地理,東南亞
"這個東南亞國家擁有世界最大的佛教建築群，被譽為「千塔之國」，其著名的吳哥窟是世界七大奇蹟之一，請問這個東南亞國家是？",柬埔寨,4.5,地理,東南亞
"這條東南亞最長的河流，全長約4350公里，流經中國、緬甸、泰國、老撾、柬埔寨和越南六個國家，被稱為「東方多瑙河」，請問這條河流是？",湄公河,5,地理,東南亞
"這個國家擁有世界最高峰，平均海拔超過4000米，被稱為「世界屋脊」，其首都拉薩有「日光城」之稱，請問這個位於喜馬拉雅山脈的地區是？",西藏,4.5,地理,亞洲
"這個亞洲最大的湖泊，面積約3.7萬平方公里，也是世界最大的內陸湖，位於哈薩克斯坦和烏茲別克斯坦之間，請問這個鹹水湖是？",咸海,5.5,地理,亞洲
"這個亞洲國家擁有世界上第二高的山峰「K2」，是世界上唯一為伊斯蘭教而建立的國家，請問這個南亞國家是？",巴基斯坦,5,地理,亞洲
"這座亞洲最高的山峰，海拔8848米，被尼泊爾人稱為「聖母峰」，由英國登山家艾德蒙·希拉里和夏爾巴嚮導丹增·諾蓋首次成功登頂，請問這座山峰是？",珠穆朗瑪峰,4,地理,亞洲
"這個中亞國家是世界上最大的內陸國，擁有豐富的石油和天然氣資源，首都曾從阿拉木圖遷至阿斯塔納，請問這個亞洲國家是？",哈薩克斯坦,5,地理,亞洲
"這個歐洲最小的國家，面積僅0.44平方公里，由一位宗教領袖統治，是全球天主教會的中心，請問這個被意大利羅馬包圍的國家是？",梵蒂岡,4,地理,歐洲
"這條歐洲最長的河流，全長約3530公里，流經10個國家，從德國黑森林發源，注入黑海，請問這條河流是？",多瑙河,4.5,地理,歐洲
"這個歐洲山脈橫跨法國、瑞士、意大利、德國和奧地利等國，是歐洲最高的山脈，最高峰為白朗峰，請問這個山脈是？",阿爾卑斯山,4,地理,歐洲
"這個斯堪的納維亞半島國家，擁有超過5萬個湖泊和眾多峽灣，被譽為「千湖之國」，首都為赫爾辛基，請問這個北歐國家是？",芬蘭,4.5,地理,歐洲
"這個歐洲國家由英格蘭、蘇格蘭、威爾士和北愛爾蘭組成，是歐洲最大的島國，請問這個以泰晤士河和「大笨鐘」著稱的國家是？",英國,4,地理,歐洲
"這個國家由50個州組成，面積約963萬平方公里，是世界第三大國，其國旗有13條紅白相間的條紋和50顆星星，請問這個國家是？",美國,4,地理,美加
"這個北美洲最大的湖泊，也是世界最大的淡水湖之一，面積約8.2萬平方公里，位於美國和加拿大邊境，請問這個五大湖中最大的湖是？",蘇必利爾湖,5,地理,美加
"這座山脈縱貫北美洲西部，全長約7200公里，從阿拉斯加一直延伸到墨西哥，請問這個北美最長的山脈是？",落基山脈,4.5,地理,美加
"這個美國西南部的大峽谷，由科羅拉多河切割形成，深達1800米，長446公里，是世界七大自然奇觀之一，請問這個國家公園是？",大峽谷,4,地理,美加
"這個世界著名的瀑布位於美國和加拿大邊境，由尼亞加拉河形成，每分鐘水流量超過168000立方米，請問這個北美最大的瀑布是？",尼亞加拉瀑布,4,地理,美加
"這個位於南美洲的國家擁有世界上最長的海岸線，是世界上最細長的國家，東臨安第斯山脈，西瀕太平洋，請問這個國家是？",智利,5,地理,其他地區
"這個位於印度洋的島國由1200多個珊瑚島組成，是世界上最低窪的國家，平均海拔僅1.5米，面臨海平面上升的威脅，請問這個國家是？",馬爾代夫,4.5,地理,其他地區
"這座位於非洲的山峰，海拔5895米，是非洲最高峰，也是世界最高的獨立山峰，請問這座被白雪覆蓋的山是？",乞力馬扎羅山,5,地理,其他地區
"這個國家是南半球面積最大的國家，也是世界第六大國，以悉尼歌劇院和大堡礁等景觀聞名，請問這個國家是？",澳洲,4,地理,其他地區
"這條南美洲最長的河流，全長約6400公里，流域面積佔南美洲面積的40%，是世界上水量最豐富的河流，請問這條河流是？",亞馬遜河,4,地理,其他地區
"這幅以圓柱投影法繪製的世界地圖，保持了方位的正確性，但面積和形狀會有變形，被廣泛用於航海導航，請問這種地圖投影法是？",麥卡托投影,5.5,地理,地圖
"在國際標準地圖製作中，以本初子午線為基準劃分東西，以赤道為基準劃分南北，請問這個被公認為本初子午線的經線是？",格林威治子午線,5,地理,地圖
"這種圓柱投影法繪製的地圖會將地球兩極區域面積誇大，而保持方向角度正確，請問這種主要用於航海的地圖投影法是？",麥卡托投影,5.5,地理,地圖
"在地圖上，通常以不同顏色表示不同的海拔高度，請問在實體地形圖上表示平原區域最常用的顏色是？",綠色,4,地理,地圖
"這條全長118公里的高速鐵路連接香港和中國內地，於2018年啟用，最高時速可達每小時350公里，請問這條鐵路是？",廣深港高速鐵路,4.5,地理,交通
"這座長約1377米的懸索橋連接青衣島和馬灣，是香港最長的行車及鐵路雙用橋，請問這座橋樑是？",汀九橋,5,地理,交通
"這條連接香港國際機場和香港市區的鐵路，全長35.3公里，於1998年啟用，行車時間約24分鐘，請問這條鐵路是？",機場快線,4,地理,交通
"這座位於香港新界的海底隧道連接沙田和將軍澳，全長約4.2公里，是香港最長的行車隧道，請問這條隧道是？",將軍澳隧道,5,地理,交通
"這個香港重要交通樞紐連接香港島、九龍和新界，每日服務逾50萬人次，是全球最繁忙的鐵路車站之一，請問這個車站是？",中環站,4.5,地理,交通
"這種現象發生於熱帶氣旋中心氣壓低導致海水湧升，加上風力和地形等因素，使海水水位大幅上升，請問這種現象是？",風暴潮,5,地理,地理（其他）
"這種地形多見於熱帶和亞熱帶地區，由於生態系統豐富，被稱為「海洋中的熱帶雨林」，請問這種由珊瑚蟲遺骸形成的地貌是？",珊瑚礁,4,地理,地理（其他）
"這個位於香港西貢的世界級地質公園，因擁有約1.4億至1.7億年前形成的六角形岩柱而聞名，請問這個地質公園是？",香港聯合國世界地質公園,4.5,地理,地理（其他）
"這種風景區主要由喀斯特地貌構成，以石灰岩峰林、溶洞、暗河等地質特徵著稱，最著名的例子在中國廣西，請問這種地貌是？",喀斯特地貌,5,地理,地理（其他）
