題目,答案,難度,主分類,子分類
這個廣東話俗語本為中醫術語，意思指透過調理臟腑以治療氣鬱導致的情志不暢，後來引伸至遇到事情令人心情舒暢的意思，請問這個廣東話俗語是？,疏肝,6.5,語言,諺語、俗語
相傳由先英王亨利八世下令鑄造，至克倫威爾共和時期遭斬件售出，請問這個自1902年起用以代表伊利沙伯二世除外英國君主的王冠是？,都鐸王冠 Tudor Crown,6,歷史,歷史Crossover
全港面積最大的公園是大埔海濱公園，而第二大的公園是維多利亞公園；那麼請問第三大的公園是哪個園內設施包括「嶺南之風」的公園？,荔枝角公園,5,地理,香港
本名清野有沙，曾經聲演 Hestia 、香風智乃、中野五月、雷姆，請問這一位女聲優是？,水瀨祈,6,娛樂,動漫畫
2010 年代開始普及，指家長希望子女成長有充足資源，盡早學習知識，以跑步比賽作比喻的句子是？,贏在起跑線,4,語言,中文
這隊樂隊成立於2009年，知名歌曲有 CityBoy、中二病人、深夜告別練習、年少輕狂，請問這一支樂隊是？,Zpecial,4.3,娛樂,廣東流行音樂
這間公司簡稱 VOC，是世上最早的跨國公司，請問這個由荷蘭商人成立，對亞洲進行貿易活動的公司是？,荷蘭東印度公司,6.3,歷史,世界史（近世）
指湖泊、海洋等水體中氮、磷等營養物質含量過多所引起的水質污染現象，使浮游生物大量繁殖，引致紅潮。請問這種污染現象是？,富營養化 Eutrophication,7,理科,地球科學
在瑪利歐賽車系列中，於《瑪利歐賽車7》中首次成為車手，遊戲中負責倒數、提醒倒行和把玩家角色從高處跌下後救出的角色是誰？,球蓋姆 Lakitu,6,娛樂,遊戲（電子）
香港女歌手王灝兒2022年第二支派台歌曲、法國法郎、西洋音樂中的「特強」、十六進制中的255、電子遊戲《最終幻想》，請問以上都可以使用哪兩個重複的英文字母表達？,FF,4,語言,語言Crossover
唱歌聲線會令人誤會他是女性，個人作品有《玫瑰與小鹿》、《大魚》等，請問這位於2019年在東方衛視節目《我們的歌》和李克勤組隊贏得冠軍的內地歌手是？,周深 Charlie Zhou,6.8,娛樂,其他流行音樂
這種氣候特色是夏季炎熱且乾燥，冬季寒冷且潮濕，請問這種以歐洲、亞洲同非洲之間的海域命名的氣候是？,Medditerranean Climate 地中海式氣候,6.7,地理,地球科學
《六祖壇經》中記載，有兩位僧人為風吹幡動爭論不休。一僧認為是風動，一僧認為是幡動。請問惠能大師認為是甚麼在動？,心動,5,文學,宗教經典
遊戲機制參考《押忍！戰鬥！應援團》，利用滑鼠、鍵盤或觸控螢幕遊玩，要玩家跟隨音樂節奏點擊畫面上的圓圈及滑條的免費音樂遊戲是？,osu!,5.2,娛樂,遊戲（電子）
香港男歌手陳仕燊是兩隊本地樂隊的主音，分別是 Supper Moment 以及哪一隊重金屬搖滾樂隊？,鐵樹蘭 TIESHULAN,5.5,娛樂,廣東流行音樂
古時稱為淺灣，位於葵涌以西，它是香港第一個新市鎮，請問這個地方是？,荃灣,4.7,地理,香港
前身是巴黎農場，1977年開幕，景點和設施包括探索號R、翻天覆地、動感快車、登山纜車等，位於香港黃竹坑的主題公園是？,香港海洋公園 Ocean Park Hong Kong,2.2,娛樂,娛樂（其他）
這個角色出生於2005年10月31日，由 Sanrio 公司推出，佩戴畫有粉紅色骷髏頭的黑色頭巾，請問這個是動畫《奇幻魔法Melody》與 Melody 對立的角色是？,Kuromi,4,文化,動漫畫
最早出現於中東地區，原意用以徵納稅項，到現代成為社會科學研究重要數據之一，請問這種一般而言每十年進行一次、用以紀錄某地區中人口相關數據的調查方式是？,人口普查 Census,6,社會,社會Crossover
一個圓形是與指定的一個點距離相同的所有點，這個點稱為圓心，而一個橢圓是與指定的兩個點距離之和相同的所有點，請問這兩個點稱為什麼？,焦點 Focus,6.2,理科,數學、電腦科學
《卡門》是法國作曲家比才的作品，那麼請問《旺角卡門》是哪位香港導演的作品？,王家衛,6,娛樂,電影（香港）
在語言學上，有一個研究語言和其他感覺之間聯繫的知名實驗，受試者被要求配對兩個給定的形狀和名字。有90%以上的受試者會認為較圓滑的形狀是 Bouba，而有尖角的形狀的名字是？,Kiki,6,語言,語言學
做法是製造高壓氣氛摧殘對象的自信，期間不斷嚴苛指責謾罵他，並以所謂「舍堂教育」洗腦之，請問此種常見於香港大學、被視為高年級生用以壓榨新生之手段一般稱作？,仙制,4.5,生活,生活Crossover
位於東京新宿，當地聚集大量的餐廳、電影院、風俗店等娛樂場所，請問這一個日本著名的紅燈區是？,Kabukichō 歌舞伎町,4.7,地理,日本
這個按鈕由於形狀類似某種食物而得名，通常放在用戶界面頂部角落，用於切換被摺疊的導航欄和主界面。請問這個由三條橫線組成的按鈕是？,Hamburger Button 漢堡按鈕,6,理科,科技、資訊科技
《鬼滅之刃》的片頭主題曲是 LiSA 的《紅蓮華》，而《無限列車篇》的主題曲是 LiSA 的《炎》，那麼《遊郭篇》的片頭主題曲是 Aimer（エメ）的哪首歌曲？,殘響散歌 Zankyou sanka,5.2,娛樂,其他流行音樂
它是電熱水爐的其中一種分類，請問這種於使用前需要先將水加熱，然後將水儲起的電熱水爐是？,儲水式電熱水爐,6,生活,生活
根據《三國志‧蜀書》裴松之的注解，劉備逝世前告誡兒子劉禪第一句是「勿以惡小而為之」，那麼第二句是？,勿以善小而不為,4.4,歷史,中國史（～魏晉南北朝）
蔡氏電路、單峰映射、雙擺等都有這種特性，請問這個指對初始值條件極度敏感，著名例子包括「蝴蝶效應」的現象是？,混沌 Chaos,5,理科,數學、電腦科學
根據傳統廣東童謠，若然打開蚊帳之後見到有一隻蚊，可以用甚麼去撥走牠？,扇,4.5,文化,傳統音樂
他是1964年諾貝爾文學獎得主，請問這位提出「存在先於本質」、「他人即地獄」等思想的作家、哲學家是？,Jean-Paul Sartre 沙特,6.7,社會,倫理、哲學
在中文，「風筒」指一種吹乾頭髮的電器，那麼在日文漢字中，「封筒」指哪一種裝著書信的容器？,信封 Envelope,7.4,語言,語言學
佛教理論中，眾生按照業報輪迴於六道之中。六道又分為三善道和三惡道，三善道為天道、阿修羅道、人道，那麽三惡道為畜生道、餓鬼道和甚麼？,地獄道 Naraka,5,社會,宗教、神秘學
NASA 的第一個可重用發射系統是穿梭機系統，那麼 SpaceX 的第一個可重用發射系統是？,獵鷹九號 Falcon 9,7,理科,科技、資訊科技
原本是韓國男團 BIGBANG 的成員，2019年因為「Burning Sun 事件」而退出演藝圈，請問這位於2021年被判入獄的韓國藝人是？,勝利,6.7,娛樂,娛樂（其他）
美國的第一任內閣中，國務卿湯馬斯．傑弗遜是民主共和黨的創建者，而財政部長亞歷山大．漢密爾頓是聯邦黨的創建者。那麽，總統華盛頓是屬於哪一個黨派？,無黨派,7,社會,政治
肥媽是女藝人瑪俐亞的暱稱，那麼肥姐是那一個於2008年因肝癌逝世女藝人的暱稱？,沈殿霞,3.2,娛樂,娛樂（其他）
這種災難在不同的神話中都有提及，例子有︰大禹治水、挪亞方舟等，請問這一種自然災害是？,大洪水,4,文學,世界神話
現時座落於香港迪士尼樂園中央的城堡稱為「奇妙夢想城堡」，那麼在2005年樂園開幕時，樂園中央的城堡稱為甚麼？,睡公主城堡 Sleeping Beauty Castle,6,娛樂,娛樂Crossover
由睜眼反應 (Eye response)、言語反應 (Verbal response) 及動作反應 (Motor response) 三個數值組成，數值越低代表反應越差，請問這一個醫學上常用以評估傷病者昏迷程度的指標是？,格拉斯哥昏迷指數 Glasgow Coma Scale (GCS),6,理科,醫學、衛生
在潮文 「巴打喺一間物流公司做，負責幫貨船入油」中，由於主角入錯油而導致輪船擱淺。輪船本來使用柴油，那麽主角錯手入了的是甚麼油？,汽油 Gasoline,4.5,文化,流行文化
這句短句源自佛經，寓意一生中會遇到很多美好的東西，但只要用心把握住其中的一樣就足夠了。《紅樓夢》中賈寶玉借用此典表示對林黛玉的喜愛。請問這句後來引申來形容愛情專一的短句是？,弱水三千只取一瓢,6,文學,文學Crossover
一般驗孕棒除了可以用來測試女性是否懷孕外，還可以用作測試男性哪一種疾病？,睪丸癌 Testicular Cancer,6.2,理科,醫學、衛生
「中東三寶」是指三間世界知名、以中東地方為基地的航空公司，其中包括阿提哈德航空、阿聯酋航空以及哪間 IATA 編碼為 QR、以多哈為基地的航空公司？,卡塔爾航空 Qatar Airways,5,地理,交通
請問以修辭或文學等各種手法，轉移議題焦點與注意力的技巧或邏輯謬誤稱為甚麼？,紅鯡魚 Red herring,7,文學,文學（其他）
根據唐詩三百首，中國的古詩可以分為三類，請問它們分別是古體詩、律詩以及？,絕句,3.7,文學,中文文學（古典）
古巴、控制單元、再見、香港城市大學、香港中文大學、銅元素，這些都能被哪一個二字母英文縮寫所表示？,CU,3,語言,語言Crossover
被認為與香港區徽外形相似，請問這個多數安裝於廚房和廁所，用來把室內空氣抽走的風扇是？,抽氣扇,1.5,生活,生活（其他）
請問利用電腦產生一個 3D 的虛擬環境，讓使用者即時及自由地觀察虛擬世界，應用於 HTC Vive 及 Oculus Quest 的技術是？,虛擬實境 Virtual Reality,4,理科,科技、資訊科技
指社會上的中產階級逐漸消失，中產不再是社會的多數，社會流動性減少，貧者越貧、富者越富，請問這一種社會是？,M型社會,5,社會,心理學、社會學
位於伊比利亞半島上的安道爾公國是被2個國家包圍的內陸國家，請問分別是法國及哪個國家？,西班牙 Spain,6.8,地理,歐洲
以1920年代「太陽神壟斷聯盟」事件為著名例子，這種有意為產品設計有限的使用壽命，令產品在一定時間後壽終正寢，以避免支出保固成本的策略的名稱是甚麼？,計劃性報廢 Planned Obsolescence,6.8,社會,經濟
請問在一個邊長為 2 的等邊三角形中，一個頂點和它對邊的最短距離是？,開方3 Square root of 3,4.8,理科,數學、電腦科學
Dictator 中文是指獨裁者，請問 Dictation 是指哪項在中小學經常進行的小型評核？,默書,2.5,語言,英文
由兩到三個雪球組成，常見的裝飾有水桶、鈕扣、頸巾、樹枝等，請問這種用雪組成的人形雕塑是？,雪人,1.5,生活,生活（其他）
例子有美孚新邨、第一城、太古城等，因交投和呎價穩定而作為樓市氣氛指標，借用股市中同樣具指標性的藍籌股命名的屋苑是？,十大藍籌屋苑,6.8,社會,商業、金融
浩園的名稱出自這個成語，請問這句意思指即使人死去，正直偉大的精神依然存在於世上的成語是？,浩氣長存,5.8,語言,成語
在香港，薪俸稅會分為兩個稅率，其中多數人繳交的是累進稅，請問另一種稅率是？,Standard Tax Rate 標準稅率,6,社會,經濟
在1980年代開始，目標以洲際彈道導彈及衛星武器，攔截攻擊美國和盟友的核彈，由時任美國總統列根發起的戰略計劃是？,星球大戰計劃 Star Wars Programme,6,社會,軍事
這個數相當於12克「碳-12」的粒子數量，即是 6.02 × 10^23，請問這個在化學上指 1 Mole 物質的粒子數的常數是？,Avogadro Constant 阿佛加德羅常數,5,理科,化學
於現行英國貨幣中，一鎊價值一百便士；然而1971年之前，鎊與便士之間存有一個單位，價值十二便士或二十份之一鎊，請問此單位是？,仙令 Shilling,6,歷史,世界史（近現代）
成立於1925年，是日本的公共媒體機構，業務包括電台和電視廣播，請問這個每年新年都會播放《紅白歌唱大賽》的機構是？,NHK 日本放送協會,6,娛樂,娛樂Crossover
水星的魔女、鐵血的孤兒、AGE、00、SEED，請問以上都是哪一套日本動畫系列的副標題？,Gundam 高達系列,4.7,娛樂,動漫畫
在描述「一個人得不到自己想要的東西時，就會把那樣東西看得一文不值」的時候，可以講「吃不到的甚麼是酸的」？,葡萄 Grapes,4.2,語言,諺語、俗語
舊時被稱為書信館，位於中環，請問這一個同時作為郵政署總部的郵局是？,郵政總局,5,地理,香港
作為全港首間紙包飲品盒回收漿廠暨教育中心，請問這間於2022年遭香港科技園公司以租約期滿為由，被迫遷離元朗創新園的本地廢紙回收廠是？,喵坊 Mil Mill,5,生活,企業團體
康熙帝的全名是愛新覺羅．玄燁【音：業】，而雍正帝的全名是愛新覺羅．胤禛，那麼乾隆帝的全名是？,愛新覺羅．弘曆,6.6,歷史,中國史（隋～清中葉）
是電影、動畫等運作的原理，指視網膜在接收光線後，產生的視覺會維持一段時間的現象稱為？,視覺暫留 Persistence of Vision,6.2,理科,生物學
在《聲夢傳奇》第一季獲得亞軍，代表作有《夢》、《靈魂伴侶》、《原來談戀愛是這麼一回事》，粉絲名稱為「小菲象」的歌手是？,姚焯菲 Chantel,4,娛樂,廣東流行音樂
英文中，「Short hundred」指100，請問「Long hundred」是指？,120,8,語言,英文
歲寒三友是中國文化中高尚人格的象徵，指在寒冬時節仍可保持頑強的生命力的三種植物，它們分別是松、竹、和甚麼？,梅 Plum blossom,4,文化,中華文化、風俗
有此血型的人紅血球上沒有 RhD 抗原，只能接受同樣 Rh 陰性的血液，因在亞洲族群中極罕見，用到一種受保護動物來形容的血型是？,熊貓血,6.4,理科,醫學、衛生
由馮志強執導，播出後因故事情節犯駁而遭受批評，請問這齣2022年7月於 ViuTV 首播，由吳海昕、呂爵安主演，以游泳競技為題的 Makerville 電視劇集是？,《I SWIM》,5,娛樂,映視劇集
在香港，這種的士載客模式是非法的，指的士司機接載多名互不相識的乘客前往相近的目的地，且不按咪錶收費，請問這種用一種魚命名的的士載客模式是？,泥鯭的,5.5,生活,交通
它是來自瑞士的一間高檔手錶品牌，公司的 Logo 是一個皇冠，請問這一個俗稱「撈」的手錶牌子是？,Rolex 勞力士,4,生活,企業團體
早於1968年已經存在，但要到1991年方首次發出，此警吿發出時必須與寒冷天氣警吿同時生效，請問這個於有機會出現結霜情況時會發出的香港天氣警吿是？,霜凍警吿 Frost Warning,6,生活,生活
2022年9月16日，22歲庫爾德族女子瑪莎．阿米妮因佩戴頭巾不符合當地官方規定遭「道德警察」拘捕，期間遭受警暴並死亡，引發全國示威爭取自由，請問上述事件是發生於中東的哪個國家？,伊朗 Iran,4,社會,時事
請問英式桌球的桌上最多可以有多少個球？,22個,6.6,運動,個人球類
食物中的還原糖和氨基酸在加熱時會發生一連串複雜的化學反應而令食物產生棕色的表面和香氣，這個化學反應的名稱是甚麼？,梅納反應,6.8,理科,化學
2011年10月1日於香港創立，是全球第一個讓用戶透過應用程式，將社交網站的相片設計成手機殼的公司，請問這間公司的名稱是？,Casetify,4.4,生活,生活
招式例子有蠟燭、飛行機、世界一周，這項利用吊著木球的木製十字形木柱進行不同花式，視為日本民間傳統玩意的運動是？,劍玉 Kendama,0,運動,個人球類
這個英文簡稱實際上來自日本，意思指事物不好，現時多數指拍攝電影或電視節目時拍攝失誤而需要重拍的鏡頭，請問這個英文簡稱是？,NG,4,語言,英文
遊玩競技問答時可能會用到，大小可以有很大差別，亦常見於中大的課室及演講廳。請問這個在麻雀裏與紅中、發財合稱三元牌的是？,白板,3.4,生活,生活
香港歌手林子祥有一首歌以之為題，但實際上香港代表隊杯葛了這一場運動會，請問此個於1980年舉行、作為首個於共產國家舉辦的奧運會是？,莫斯科奧運 Moscow Olympics,0,歷史,歷史Crossover
蒙古同台灣的這一日定於八月八號，而香港則定於六月第三個星期日，請問此節日為？,父親節,2,文化,其他文化、風俗
現時全球有約兩京隻，生物量約為人類之兩成，雌性常分為工、兵、后三種，請問此種作為香港歌手許廷鏗第三支派台單曲名稱的完全變態真社會性膜翅目昆蟲是？,螞蟻,0,理科,動植物
因2014年起於 YouTube 及 Youtube Kids 出現大量以卡通風格製成但內容不適合兒童觀看的影片而引起討論，這被稱為甚麼事件？,愛莎門 Elsagate,5.8,社會,時事
這個特徵是一種肌肉上的缺陷，擁有這個特徵的人們當微笑或說話時，口角外側即會呈現出圓形或橢圓形的皮膚凹陷，請問這個特徵稱為甚麼？,酒窩 Dimples,0,理科,生物學
香港開埠初期，設有議政局及定例局，其中議政局演變成今行政會議，請問定例局演變成現今哪個立法機關？,立法會 Legislative Council,3,歷史,香港史
生於大陸四川，十三歲時移居香港，2008年曾咬傷一名女護理員腿部，至2022年7月21日以35歲高齡逝世，請問這一隻生前居於香港海洋公園，全球最長壽圈養的雄性大熊貓是？,安安 An An,5,歷史,香港史
靈感源自火車廂座，設計目的係為令坐上客擁有舒適而私人之空間，請問此種常見於餐飲食肆、通常由方檯及二人長板椅組成之組合傢俬係？,卡位,0,生活,生活
Break 在中文可以指打斷，而 Fast 在中文可以指絕食，如果將此意思的 Break 和 Fast 合做一個英文字，該英文字的中文意思是？,早餐,2,語言,英文
根據香港法例《硬幣條例》，面額不少於一港圓之硬幣所支付款額不得超過一百港圓，那麼面額少於一港圓之硬幣所支付款額不得超過多少港圓？,2,5.7,社會,法律
做法為將餅皮放進圓形盆狀餅模中，倒入由砂糖、鮮奶及雞蛋混合而成的蛋漿，然後放入烤爐烘焗製成。請問此種於2014年列為香港非物質文化遺產，主要分為牛油皮及酥皮兩種的傳統西餅是？,蛋撻 Egg-tarts,4,生活,飲食
MIRROR紅館演唱會大型屏幕下墜事件後，首個於紅館舉辦演唱會的歌手是林家謙，那麼第二個於紅館舉辦演唱會，作為樂隊Zarahn主音，被網民稱為「腎仔」的歌手為？,周國賢 Endy Chow,0,娛樂,廣東流行音樂
三度贏得香港視帝，曾經出演電視劇《忠奸人》、《阿旺新傳》、《戇夫成龍》、《老表你好嘢》等，請問這位香港演員是？,郭晉安,5.5,娛樂,映視劇集
任內歷經兩代君主，但在任時間僅得四十五日，請問此個作為英國史上在任時間最短首相之保守黨籍女性前首相係？,卓慧思 Liz Truss,3.4,社會,政治
李白的詩《早發白帝城》中，「朝辭白帝彩雲間」的下一句是「千里江陵一日還」，請問後續的「兩岸猿聲啼不住」的下一句是？,輕舟已過萬重山,5,文學,中文文學（古典）
曾稱鹿島通，於1968年被編入一一號幹線，全長2.9英里，沿路建築包括譽．港灣、拔萃男書院、聖德肋撒醫院、新世紀廣場、旺角警署，有地鐵站以之為名的街道是？,太子道 Prince Edward Road,4,地理,交通
生於1926年4月21日，曾於1975及1986年二度訪港。請問此位於1952年2月6日登基、2022年9月8日駕崩，人稱「事頭婆」的先英女皇是？,伊利沙伯二世 Elizabeth II,3,歷史,世界史（近現代）
這種動物同時為一首合唱歌的歌名，在法國是一種美食，請問這種在陸地上生活的有殼軟體動物是？,蝸牛 Snail,4.5,生活,飲食
這短句出自大陸作家林蘇的短篇小說，用以形容短暫的戀情。它流入香港網絡社群後，常用以勸誘他人切勿過份嚴肅對待事情，請問此六字短句是？,認真你就輸了,5,語言,語言Crossover
這個是北歐神話中一連串巨大劫難，包括了造成許多重要的神死亡的大戰和無數的自然浩劫，請問這個一連串的事件稱為甚麼？,諸神的黃昏 Ragnarök,0,文學,世界神話
分為京畿、大田、大邱、世宗、江原、濟州等17個一級行政區域，位於東亞的發達國家是？,韓國 South Korea,4.4,地理,東南亞
光譜解析度、一個用於資料分析的語言、所有實數的集合，都可以用英文第18個字母表示，請問這個字母是？,R,1.4,理科,理科Crossover
此種摺紙玩具常見於香港中小學，主持可以將玩具套於手上，按其他玩家決定的方位及步數進行開合，然後玩家會得到一句對應的說話。請問此玩具是？,東南西北,4,娛樂,遊戲（其他）
請問香港中文大學的兩個通識教育基礎課程，分別是「與人文對話」及甚麼科目？,與自然對話 In Dialogue with Nature,1.8,生活,生活
它可以指一首 Taylor Swift 在專輯 Speak Now 的歌曲，在數學指平均值，英文中可以用來強調事物的意思，亦可解作「小氣」、「卑鄙」的詞語是？,Mean,3.6,語言,語言Crossover
本來為一間於1970年代開業之老字號冰廳，後遭太興飲食集團收購，現時以沙嗲牛肉麵、滾水雞蛋、黯然銷魂飯等香港茶餐廳特色食品作招徠，原名「文華冰廳」的香港連鎖茶餐廳是？,敏華冰廳 Man Wah Bing Teng,4.5,生活,飲食
民國以後，中國北京天安門城樓上曾懸掛多名華人領袖肖像，但懸掛非華人領袖肖像則只有一名，是於公元1953年悼念一位蘇聯領導人。請問此名已故蘇共總書記是？,史太林 Joseph Stalin,0,歷史,中國史（清末～）
此書大約成書於戰國至西漢時期，分為《素問》與《靈樞》兩部分，請問這本中國現存最早期的中醫典籍是？,黃帝內經,3.6,歷史,中國史（～魏晉南北朝）
原本指一種酷刑，秦朝李斯亦死於此刑下，現在則指大型活動或連載作品因意外等原因終止的詞語是？,腰斬,3.4,語言,中文
在粵語長片《十兄弟》中，主角十兄弟中最年幼的是大喊十，那麼最年長的是誰？,千里眼,4,娛樂,映視劇集
Up、Down、Charm、Strange、Top 和 Bottom 都是哪一種基本粒子的種類？,夸克 Quark,6.4,理科,物理學
美國第一個專利是製造這個元素的化合物的方式，由植物的灰燼中分離出來，燃燒時會有藍紫色的火焰，原子序數為19，化學符號為K的元素是？,鉀 Potassium,3.2,理科,化學
於1991年推出，歌曲運用了多個與中華人民共和國、英國相關的象徵和隱喻，描繪了香港社會面對1997年主權移交的心態，請問這首由林夕填詞，羅大佑作曲的歌曲是甚麼？,皇后大道東,4,娛樂,廣東流行音樂
一種稱為「蜱【皮pei4】」的動物、股市中價格波動最小可升降單位、一剎那、選擇或確認、一個代表正確的符號，請問以上均可以哪個英文詞彙表達？,Tick,4.5,語言,英文
有着 April、May、June 三胞胎姪女，動畫《米奇老鼠》中唐老鴨的女朋友是？,黛絲鴨 Daisy Duck,5.6,娛樂,動漫畫
原本為 Emotional Hardcore 這種音樂的簡稱，在網絡上可以指一個人情緒不穩定。請問這個在中大同時指物業管理處，由三個英文字母組成的簡稱是？,EMO,4.5,語言,英文
在網絡上指人說話表面上支持某個立場，但實際所表達的立場相反，請問這一個平滑彎曲的線段的兩字詞為？,曲線,3.5,語言,廣東話
常見於教堂，多以聖經故事為內容，由加入不同的氧化金屬成分而產生不同顏色的玻璃製成。請問這種西方建築裝飾品是？,彩繪玻璃 Stained glass,5,文化,立體藝術
上面會貼上雀鳥貼紙以防止雀鳥撞上，請問這種鋪設於公路、鐵路兩旁，用來防止噪音的設施是？,隔音屏障,0,,生活
在沒有提供基準音的情況下能區別對聲音的實際音高的感受能力稱為甚麼？,絕對音準 Perfect Pitch,3.2,文化,樂理、樂器
重複大力敲擊或跳動、寵物領養所、汽車扣留所、貨幣單位「鎊」、重量單位「磅」，請問以上均可以用哪個英文字詞表達？,Pound,2.5,語言,英文
作為一種木管樂器，直身長管，頂端為吹口，笛身有8至10個音孔，其中2個為半音孔，請問這種由於成本低廉、容易學習而成為香港小學音樂課會教的樂器是？,牧童笛 Recorder,5,文化,樂理、樂器
原指一種家禽的內臟，因能裝下的東西不多而延伸指數量極少的事物，通常用於形容金錢，廣東話會怎麼說？,雞碎,5.2,文化,廣東話
作為博弈論中一種賽局類型，表示所有參與玩家的利益之和為零或一個常數，即一方有所得，其他方必有所失，賽局各方是不合作的。請問此賽局名為？,零和遊戲 Zero Sum Game,4.5,理科,數學、電腦科學
香港網絡有「新三大魚仁生」之說，其中「生」指香港恒生大學，而「仁」指香港樹仁大學，請問「魚」是指哪一間被戲稱為「鯨魚大學」之自資法定大學呢？,香港都會大學 Hong Kong Metropolitan University,4,文化,流行文化
正式名稱為微交易，指玩家透過遊戲程式中內建的付款機制購買遊戲道具，請問這個源自日本的流行用語是？,課金,3,,遊戲（電子）
請以中文作答。例子有日本的《仰望師恩》和蘇格蘭民謠《友誼萬歲》等，這種在畢業、離別時唱的歌被稱為甚麼？,驪歌,5.2,語言,中文
現時港鐵觀塘綫一共與四條其他港鐵綫路交滙，分別是屯馬綫、荃灣綫、東鐵綫，以及何條於油塘、調景嶺二站與之交滙之鐵路綫呢？,將軍澳綫,5,地理,交通
這個漢字有五劃，於中國、日本、韓國等地會用這個字作為計數符號，請問這一個由「一」字和「止」字組成的漢字是？,正,2.3,語言,中文
蘇軾所作的《題西林壁》中，倒數第二句是「不識廬山真面目」，請問下一句是？,只緣身在此山中,4.3,文學,中文文學（古典）
1980-87年間分7期落成，共有52座，位於圓洲角沙田市第1號地段，請問這個有同名鐵路站、以其嚴格執行鎖車政策聞名的私人屋邨是？,沙田第一城 City One Shatin,4,地理,香港
請問「枯籐老樹昏鴉，小橋流水人家，古道西風瘦馬，夕陽西下，斷腸人在天涯。」是出自哪一首由馬致遠所寫的元曲？,《天淨沙．秋思》,5.8,文學,中文文學（古典）
外形與小階英文字母 b 相似，請問這個在五線譜上放在音符前，表示該音符要比標定的音高低半音的符號是？,降號 Flat,4,文化,樂理、樂器
位於香港中環之元創方又名「PMQ」，其中「P」指「Police」，而「M」指「Married」，那麼請問「Q」是指哪個意思為宿舍的英文字？,Quarters,5.5,生活,企業團體
做法為設置兩個標誌物，由一個標誌物跑向另一個，用手或者腳碰到標誌物後立即跑回起點，按照訓練需求完成若干個循環，請問這種體適能鍛煉方法是？,折返跑 Shuttle Run,4,運動,健體
這種賽制在排球、網球、乒乓球、羽毛球等運動中採用，指對賽雙方打至距離決勝分1分時仍然平手，此時領先方必須取得2分差優勢才算獲勝的賽制是？,刁時 Deuce,4.7,運動,運動（其他）
文、餅、個、大洋，請問以上均係對何種金屬付費工具之稱呼？,硬幣,0,語言,廣東話
尼斯、圖盧茲、里昂、馬賽、巴黎，請問上述的城市均位於哪個國家？,法國 France,2.5,地理,歐洲
原本是賽馬的術語，指在比賽前段保存腳力，留待最後階段才全速衝刺，請問這個現時可以應用在不同比賽場景的四字詞語是？,留前鬥後,0,運動,運動Crossover
這種裝飾藝術大量運用於高迪公園，常見於港鐵牆面的紙皮石，亦可指處理敏感影像或畫面的手法，請問這些由細小色塊拼嵌而成的手法可以稱為？,馬賽克 Mosaic,3.5,文化,平面藝術
常見於 A Cappella，請問這一種利用嘴巴模仿敲擊樂的技巧是？,Beatbox,6,,樂理、樂器
在捐贈紅血球時，被稱為「萬用捐血者」的是O型血人士，那麼被稱為「萬用受血者」的是屬於哪一種血型的人士？,AB型血,3.8,理科,生物學
