question,answer,difficulty,topic,subtopic
這件裝備由「暴風大劍」和「十字鎬」合成 提供高額物理攻擊 是許多物理輸出英雄的核心組件 請問這件裝備是？,無盡之刃 Infinity Edge,3.1,娛樂,遊戲（電子）
遊戲中的這些小型單位沿著兵線自動前進 攻擊敵方單位和建築物 擊殺牠們是獲取金錢和經驗的主要方式 請問這些單位是？,士兵 / 小兵 Minions,1.7,娛樂,遊戲（電子）
這位英雄是一位使用巨錨的深海泰坦 他的Q技能可以將自己拉向目標或地形 W技能提供護盾 R技能可以在地面引發衝擊波擊飛路徑上的敵人 請問這位英雄是？,納帝魯斯 Nautilus,3.9,娛樂,遊戲（電子）
這個遊戲術語指玩家在兵線上最後一擊擊殺小兵以獲得金錢的行為 請問這個術語的英文簡稱是？,CS (Creep Score) / 尾刀 Last Hit,2.3,娛樂,遊戲（電子）
這件裝備主要提供魔力回復、技能加速和基礎魔力回復加成 其被動效果可以在擊殺或助攻時回復部分魔力 請問這件法師續航裝備是？,失落之章 Lost Chapter,3.8,娛樂,遊戲（電子）
這個中立野怪營地包含一個大型的紅色樹精 擊殺牠可以獲得一個讓普攻附帶燃燒和緩速效果的增益 請問這個增益效果俗稱？,紅Buff / 紅爸 Red Buff (Crest of Cinders),2.5,娛樂,遊戲（電子）
這位英雄是皮爾托福的執法者 裝備著巨大的海克斯科技拳套 Q技能可以儲力衝刺 W技能提供護盾 R技能可以鎖定一名敵人並衝撞過去 請問這位英雄是？,菲艾 Vi,3.6,娛樂,遊戲（電子）
這個屬性代表英雄移動的速度 可以透過鞋子、道具、符文或技能提升 請問這個屬性是？,移動速度 Movement Speed,2.6,娛樂,遊戲（電子）
這個中國賽區近年來實力崛起 培養了如EDG、RNG、JDG等頂尖隊伍 在國際賽場上屢獲佳績 請問這個賽區的縮寫是？,LPL (League of Legends Pro League),3.0,娛樂,遊戲（電子）
這位英雄是一位使用長鞭的皮爾托福治安官 Q技能可以射出和平使者 W技能放置陷阱 E技能射出繩網 R技能可以瞄準並狙擊遠方的敵人 請問這位英雄是？,凱特琳 Caitlyn,2.7,娛樂,遊戲（電子）
這件裝備提供生命值和技能加速 主動效果可以為附近友軍提供一個逐漸衰減的護盾 請問這件輔助/坦克裝備是？,日輪的加冕 Locket of the Iron Solari,4.1,娛樂,遊戲（電子）
摧毀敵方兵線上的這個建築物後 會使己方超級士兵從該路出現 請問這個建築物是？,水晶兵營 Inhibitor,2.8,娛樂,遊戲（電子）
這位英雄是一位操控時間的佐恩男孩 他的Q技能可以投擲一個時間裝置 W技能可以加速自身 E技能可以短暫衝刺 R技能可以回到幾秒前的位置和狀態 請問這位英雄是？,艾克 Ekko,4.4,娛樂,遊戲（電子）
這個遊戲術語指一名或多名英雄突然襲擊敵方線上英雄的行為 通常由打野英雄發起 請問這個術語是？,Gank / 遊走 Roam,2.1,娛樂,遊戲（電子）
這件裝備提供物理攻擊、生命值和技能加速 其被動效果「切割」可以根據目標已損失生命值造成額外物理傷害 請問這件鬥士常用裝備是？,黑色切割者 Black Cleaver,3.5,娛樂,遊戲（電子）
這種元素飛龍提供物理和魔法吸血加成 擊殺四條後獲得的龍魂效果是在對敵方英雄造成傷害時回復生命值 請問這是哪種元素飛龍？,癒水飛龍 Chemtech Drake,4.9,娛樂,遊戲（電子）
這位英雄是闇影島的不死戰魂 手持巨型釘錘 Q技能可以向前揮擊 W技能獲得護盾 R技能可以召喚亡靈向前衝鋒 請問這位英雄是？,魔鬥凱薩 Mordekaiser,4.3,娛樂,遊戲（電子）
這個屬性代表英雄透過普攻或技能造成傷害時 回復自身生命值的效果 分為物理和魔法兩種 請問這個屬性是？,吸血 Lifesteal / 普攻吸血 Omnivamp,3.7,娛樂,遊戲（電子）
這個歐洲賽區以其創新的戰術和風格多樣的隊伍著稱 代表隊伍有G2 Esports、Fnatic等 請問這個賽區的縮寫是？,LEC (League of Legends European Championship),3.2,娛樂,遊戲（電子）
這位英雄是一位使用巨型鐮刀的闇裔戰士 他可以選擇變身為強調刺殺的「影刺客」或強調續戰的「勒哈斯特」 請問這位英雄是？,慨影 Kayn,4.6,娛樂,遊戲（電子）
這件裝備提供法術強度、魔力、技能加速 被動效果「回音」可以讓技能命中時對目標及附近敵人造成額外魔法傷害 請問這件法師爆發裝備是？,盧登驟雨 Luden's Tempest,3.9,娛樂,遊戲（電子）
遊戲開始時 英雄可以選擇兩個不同的技能來輔助戰鬥 例如點燃、治癒、傳送等 請問這些技能統稱為？,召喚師技能 Summoner Spells,2.0,娛樂,遊戲（電子）
這位英雄是一位來自弗雷爾卓德的寒冰射手 Q技能可以強化普攻 W技能射出多支箭矢 R技能可以射出一支巨大的冰箭暈眩命中的第一個敵人 請問這位英雄是？,艾希 Ashe,1.9,娛樂,遊戲（電子）
這個遊戲術語指英雄在移動的同時進行普通攻擊 以維持與敵人的距離或追擊敵人 請問這個術語是？,風箏 / 拉打 Kiting,3.8,娛樂,遊戲（電子）
這件裝備提供大量法術強度和百分比魔法穿透 是對抗高魔法防禦敵人的核心裝備 請問這件法師裝備是？,虛空之杖 Void Staff,3.4,娛樂,遊戲（電子）
這種元素飛龍提供攻擊速度和技能加速加成 擊殺四條後獲得的龍魂效果是在施放大絕後短暫提升跑速和攻速 請問這是哪種元素飛龍？,疾風飛龍 Cloud Drake,4.0,娛樂,遊戲（電子）
這位英雄是一位使用魔法書的流浪法師 他的技能會根據不同的連招產生不同效果 R技能可以開啟一個傳送門將友軍傳送到附近位置 請問這位英雄是？,雷茲 Ryze,5.1,娛樂,遊戲（電子）
這個屬性可以減少英雄受到物理傷害的百分比 可以透過道具和符文提升 請問這個屬性是？,物理防禦 Armor,2.7,娛樂,遊戲（電子）
這個北美賽區擁有龐大的粉絲基礎和眾多知名隊伍 如Cloud9、Team Liquid、TSM等 請問這個賽區的縮寫是？,LCS (League of Legends Championship Series),3.3,娛樂,遊戲（電子）
這位英雄是一位揮舞著巨大刀刃的諾克薩斯戰士 他的被動技能可以疊加流血效果 Q技能是大範圍揮砍 R技能是跳向敵人進行斬殺 請問這位英雄是？,達瑞斯 Darius,3.0,娛樂,遊戲（電子）
這件裝備提供生命值、魔力回復和治療/護盾強度 被動效果可以儲存靈魂碎片 並消耗來治療或保護友軍 請問這件輔助裝備是？,月光石之再生裝置 Moonstone Renewer,4.7,娛樂,遊戲（電子）
遊戲中插在地上可以提供周圍區域視野的消耗品 是控制地圖視野的重要工具 請問這個物品是？,偵查守衛 / 眼 Ward,1.8,娛樂,遊戲（電子）
這位英雄是一位約德爾炮手 以其火箭炮「魚骨頭」聞名 Q技能可以切換武器 W技能發射電擊 ZAP! R技能是超威能死亡火箭！ 請問這位英雄是？,吉茵珂絲 Jinx,3.2,娛樂,遊戲（電子）
這個遊戲術語指敵方英雄消失在地圖視野中 可能正在前往其他路或埋伏 常用於提醒隊友 英文縮寫是？,MIA (Missing In Action) / SS (Stay Safe - 歐洲常用),3.1,娛樂,遊戲（電子）
這件裝備提供法術強度和生命值 被動效果「巫妖之禍」可以讓施放技能後的下次普攻造成額外魔法傷害 請問這件法師/刺客裝備是？,巫妖之禍 Lich Bane,4.0,娛樂,遊戲（電子）
這種元素飛龍提供物理攻擊和法術強度加成 擊殺四條後獲得的龍魂效果是在造成傷害時引發爆炸 請問這是哪種元素飛龍？,赤焰飛龍 Infernal Drake,3.5,娛樂,遊戲（電子）
這位英雄是一位使用鎖鏈的魂鎖典獄長 Q技能可以勾住敵人 W技能可以丟出燈籠讓友軍點擊進行位移 R技能創造一個五邊形牆壁 請問這位英雄是？,瑟雷西 Thresh,3.8,娛樂,遊戲（電子）
這個屬性可以減少英雄受到魔法傷害的百分比 可以透過道具和符文提升 請問這個屬性是？,魔法防禦 Magic Resist,2.8,娛樂,遊戲（電子）
這位韓國選手被認為是英雄聯盟歷史上最偉大的選手 被稱為「大魔王」 長期效力於T1戰隊 請問這位選手是？,Faker (李相赫),2.0,娛樂,遊戲（電子）
這位英雄是一位操控冰霜的弗雷爾卓德女巫 Q技能投擲冰矛 W技能製造冰牆 R技能大範圍冰封領域 請問這位英雄是？,麗珊卓 Lissandra,4.9,娛樂,遊戲（電子）
這件裝備提供物理攻擊、跑速和物理穿透 其被動效果「潛行」可以讓英雄在草叢中獲得加速效果 請問這件刺客/鬥士裝備是？,潛行者之爪 Prowler's Claw (舊版效果),5.6,娛樂,遊戲（電子）
遊戲中最強大的中立野怪 位於河道上方的巢穴 擊殺後可以獲得一個強化回城和強化周圍小兵的強力增益 請問這個野怪是？,巴龍 / 納什男爵 Baron Nashor,3.0,娛樂,遊戲（電子）
這位英雄是一位拿著巨大十字架的蒂瑪西亞審判天使 她的被動技能可以讓她逐漸升階獲得強化效果 R技能可以讓自己或友軍短暫無敵 請問這位英雄是？,凱爾 Kayle,4.5,娛樂,遊戲（電子）
這個遊戲術語指隊伍圍繞某個特定目標（如小龍、巴龍或推塔）進行部署和爭奪的行為 請問這個術語是？,逼戰 / 運營 Objective Control / Macro Play,4.4,娛樂,遊戲（電子）
這件裝備提供生命值和物理防禦 其被動效果「冰霜之拳」讓施放技能後的下次普攻可以製造一個緩速區域 請問這件坦克裝備是？,冰脈護手 Iceborn Gauntlet,4.2,娛樂,遊戲（電子）
這種元素飛龍提供物理防禦和魔法防禦加成 擊殺四條後獲得的龍魂效果是在短時間未受傷害後獲得一個護盾 請問這是哪種元素飛龍？,裂地飛龍 Mountain Drake,3.6,娛樂,遊戲（電子）
這位英雄是一位來自虛空的掠食者 他的被動技能可以進化自身技能 Q技能發射虛空尖刺 W技能回復生命 R技能進入潛行狀態 請問這位英雄是？,卡力斯 Kha'Zix,4.1,娛樂,遊戲（電子）
這個屬性可以縮短英雄技能的冷卻時間 讓技能可以更頻繁地使用 請問這個屬性是？,技能加速 Ability Haste,3.2,娛樂,遊戲（電子）
這支隊伍是LCK的傳奇隊伍 曾多次獲得世界冠軍 核心選手Faker在此效力多年 請問這支隊伍是？,T1 (前身為 SK Telecom T1),2.4,娛樂,遊戲（電子）
這位英雄是一位使用魔法貓咪的輔助 她可以附著在友方英雄身上提供治療和護盾 R技能可以發射多波魔法衝擊禁錮敵人 請問這位英雄是？,悠咪 Yuumi,3.9,娛樂,遊戲（電子）
這件裝備提供物理攻擊、暴擊率和移動速度 被動效果「充能」可以讓移動和攻擊累積能量 下次普攻造成額外魔法傷害 請問這件射手裝備是？,衝擊火炮 Rapid Firecannon,3.8,娛樂,遊戲（電子）
遊戲中位於兵線上的防禦性建築物 會攻擊進入其範圍的敵方單位 摧毀它們是推進和獲勝的關鍵 請問這些建築物是？,防禦塔 / 塔 Turret,1.9,娛樂,遊戲（電子）
這位英雄是一位使用巨大劍盾的弗雷爾卓德之心 Q技能向前衝撞 W技能舉起盾牌格擋 R技能躍向空中再砸向地面造成範圍傷害 請問這位英雄是？,布郎姆 Braum,4.0,娛樂,遊戲（電子）
這個遊戲術語指玩家透過不斷擊殺小兵和野怪來獲取金錢和經驗的行為 請問這個術語是？,發育 / 農兵 Farming,2.0,娛樂,遊戲（電子）
這件裝備提供法術強度、生命值和魔法穿透 其被動效果「痛苦」可以對敵人施加持續燃燒傷害 請問這件法師持續傷害裝備是？,黎安卓的苦楚 Liandry's Anguish,4.3,娛樂,遊戲（電子）
這種元素飛龍提供生命回復加成 擊殺四條後獲得的龍魂效果是在脫離戰鬥後大量回復已損失生命值 請問這是哪種元素飛龍？,癒水飛龍 Ocean Drake,3.7,娛樂,遊戲（電子）
這位英雄是一位使用雙槍的賞金獵人 Q技能可以發射彈射子彈 W技能增加跑速和攻速 R技能是彈幕時間 大範圍掃射 請問這位英雄是？,好運姐 Miss Fortune,2.9,娛樂,遊戲（電子）
這個屬性代表英雄造成暴擊時的額外傷害倍率 基礎為175% 可以透過道具提升 請問這個屬性是？,暴擊傷害 Critical Strike Damage,4.6,娛樂,遊戲（電子）
這支LPL隊伍在2021年英雄聯盟世界大賽中爆冷奪冠 中單選手Scout表現亮眼 請問這支隊伍是？,EDward Gaming (EDG),3.9,娛樂,遊戲（電子）
這位英雄是一位來自愛歐尼亞使用疾風劍術的浪人 Q技能是鋼鐵暴雪 W技能是風牆鐵壁 R技能是奪命氣息 需要擊飛敵人才能施放 請問這位英雄是？,犽宿 Yasuo,3.4,娛樂,遊戲（電子）
這件裝備提供大量生命值和生命回復 被動效果「溫暖之心」可以在脫離戰鬥後持續回復生命值 請問這件坦克續航裝備是？,好戰者鎧甲 Warmog's Armor,3.6,娛樂,遊戲（電子）
遊戲開始前 玩家可以選擇一套符文頁來強化英雄的屬性和玩法 包含基石符文和次要符文 請問這些符文系統統稱為？,符文 Runes,2.5,娛樂,遊戲（電子）
這位英雄是一位使用巨大刀刃的闇裔劍魔 被動技能提供吸血 Q技能是三段揮砍 R技能變身增加體型、攻擊力和吸血效果 請問這位英雄是？,厄薩斯 Aatrox,4.2,娛樂,遊戲（電子）
這個遊戲術語指坦克或鬥士英雄衝入敵方陣型 吸引火力和控制敵方核心輸出的行為 請問這個術語是？,開戰 / 衝排 Engage / Dive,3.9,娛樂,遊戲（電子）
這件裝備提供生命值和魔法防禦 被動效果可以在受到魔法傷害後提升自身魔防和跑速 請問這件坦克/鬥士魔抗裝備是？,自然之力 Force of Nature,4.1,娛樂,遊戲（電子）
遊戲中 在14分鐘前出現在上路河道的這個中立生物 擊殺後掉落「預示者之眼」 可以在線上召喚牠協助推塔 請問這個生物是？,預示者 Rift Herald,3.0,娛樂,遊戲（電子）
這位英雄是一位操控暗黑能量的星界女祭司 Q技能投擲黑暗星體 W技能治療友軍 R技能可以沉默範圍內所有敵人 請問這位英雄是？,索拉卡 Soraka,3.1,娛樂,遊戲（電子）
這個屬性可以無視目標一定百分比的物理防禦或魔法防禦 是對抗坦克的關鍵屬性 請問這個屬性是？,百分比穿透 Percentage Penetration,4.8,娛樂,遊戲（電子）
這位來自丹麥的中路選手 以其高超的操作和多變的英雄池聞名 曾效力於G2 Esports和Team Liquid等隊伍 請問這位選手是？,Caps (Rasmus Winther) / Jensen (Nicolaj Jensen) (兩位皆是著名丹麥中路，視乎線索可指向其一),4.5,娛樂,遊戲（電子）
這位英雄是一位使用沙兵作戰的蘇瑞瑪皇帝 Q技能指揮沙兵移動 W技能召喚沙兵 E技能位移至沙兵位置 R技能召喚一排沙兵向前衝鋒 請問這位英雄是？,阿祈爾 Azir,5.7,娛樂,遊戲（電子）
這件裝備提供物理攻擊和全能吸血 被動效果可以在低生命值時提供一個護盾 請問這件鬥士/射手生存裝備是？,飲血戰錘 Goredrinker (舊版效果) / 嗜血者 Bloodthirster (現護盾效果),4.4,娛樂,遊戲（電子）
在遊戲早期 出現在下路河道的這種元素飛龍會隨機改變地圖地形 擊殺牠可以為隊伍提供永久屬性加成 請問這種生物統稱？,元素飛龍 Elemental Drake,2.6,娛樂,遊戲（電子）
這位英雄是一位揮舞巨劍的蒂瑪西亞楷模 Q技能向前衝刺 E技能審判 R技能召喚正義保護友軍或打擊敵人 請問這位英雄是？,嘉文四世 Jarvan IV,3.5,娛樂,遊戲（電子）
