question,A,B,C,D,answer,difficulty,topic,subtopic
哪個歐洲國家以其風車、鬱金香和木屐而聞名？,比利時,丹麥,荷蘭,瑞士,C,2.4,地理,歐洲
香港哪位著名流行歌手有「歌神」之稱？,譚詠麟,張國榮,張學友,黎明,C,2.1,娛樂,廣東流行音樂
在化學中，pH 值等於 7 代表溶液是甚麼性質？,酸性,中性,鹼性,強酸性,B,4.8,理科,化學
香港最長的沙灘位於哪裡？,淺水灣,石澳泳灘,長沙泳灘（大嶼山）,黃金泳灘,C,6.3,地理,香港
成語「畫蛇添足」的故事中，最終誰贏得了酒？,第一個畫完蛇的人,畫蛇並添上腳的人,沒有參加畫蛇的人,沒有畫完蛇的人,A,5.2,語言,成語
香港公共圖書館的借書卡，最多可以借閱多少項資料（包括書籍、影音資料等）？,6項,8項,10項,12項,C,5.7,生活,生活
哪個阿拉伯數字的寫法，在香港滙豐銀行發行的鈔票上有特殊設計？,3,4,5,7,B,6.8,文化,文化（其他）
被稱為「萬園之園」的中國古典皇家園林是？,頤和園,承德避暑山莊,拙政園,圓明園,D,4.6,歷史,中國史（隋～清中葉）
在 Microsoft Excel 軟件中，儲存格 A1 下方的儲存格是？,A0,A2,B1,B2,B,3.5,理科,科技、資訊科技
香港哪一區曾經是主要的飛機啟德機場的所在地？,黃大仙區,觀塘區,九龍城區,深水埗區,C,2.9,地理,香港
儒家思想中，五常是指仁、義、禮、智和甚麼？,信,勇,忠,孝,A,5.4,文學,中文文學（古典）
香港電車路軌的寬度（軌距）是多少毫米？,1000毫米,1067毫米,1435毫米（標準軌）,1600毫米,B,7.1,地理,交通
哪個物理量是用來描述物體運動快慢和方向的？,速率（Speed）,速度（Velocity）,加速度（Acceleration）,力（Force）,B,4.1,理科,物理學
"香港哪個地方的英文名稱是 ""Causeway Bay""？",中環,灣仔,銅鑼灣,北角,C,1.5,地理,香港
成語「杯弓蛇影」是比喻甚麼？,疑神疑鬼，自相驚擾,朋友間關係疏遠,形容射箭技術高超,比喻虛幻不實的事物,A,5.2,語言,成語
香港現時最高的建築物是？,國際金融中心二期 (Two IFC),中環廣場,環球貿易廣場 (ICC),中銀大廈,C,2.8,地理,香港
世界上最深的馬里亞納海溝位於哪個大洋？,大西洋,印度洋,北冰洋,太平洋,D,6.3,地理,地理（其他）
香港著名景點「黃大仙祠」主要供奉哪位道教神仙？,關帝,呂洞賓,黃大仙（黃初平）,媽祖（天后）,C,2.1,社會,宗教、神秘學
哪種常見的氣體佔地球大氣層體積的最大比例？,氧氣,二氧化碳,氮氣,氬氣,C,5.7,理科,地球科學
《孫子兵法》的作者是誰？,孫臏,孫權,孫武,孫策,C,4.6,歷史,中國史（～魏晉南北朝）
香港「標準工時」委員會最終未能達成共識，但建議研究推行甚麼制度以保障基層僱員？,超時補水制度,最高工時制度,合約工時制度,彈性上班制度,C,7.4,社會,時事
哪種烹飪方式是利用高溫乾熱空氣來煮熟食物，常用於烘焙麵包和蛋糕？,蒸 (Steaming),烤 (Baking/Roasting),炸 (Frying),燉 (Stewing),B,3.7,生活,飲食
香港哪一條街道因兩旁密集的體育用品店而有「波鞋街」之稱？,通菜街,花園街,西洋菜南街,廣東道,B,1.9,地理,香港
《伊索寓言》中，「龜兔賽跑」的故事教導我們甚麼道理？,驕兵必敗、持之以恆,團結就是力量,不要貪心,要隨機應變,A,1.6,文學,繪本、童話、傳說
香港的「八達通」卡最初主要用於哪種用途？,繳付公共交通費用,商店購物,屋苑門禁,學校點名,A,1.3,生活,生活
在電腦鍵盤上，通常位於最上方一排，以 F 開頭的按鍵被稱為什麼鍵？,功能鍵 (Function Keys),數字鍵 (Number Keys),字母鍵 (Letter Keys),控制鍵 (Control Keys),A,3.2,理科,科技、資訊科技
香港新界地區最大的市鎮是哪個？,屯門,元朗,沙田,大埔,C,5.9,地理,香港
「知己知彼，百戰不殆」這句名言出自哪本著作？,《論語》,《道德經》,《孫子兵法》,《戰國策》,C,4.9,文學,中文文學（古典）
香港哪種公共交通工具不接受現金付款（需使用八達通或特定支付方式）？,電車,輕鐵,專線小巴,部份過海巴士線,B,1.7,地理,交通
植物進行光合作用主要需要吸收哪種氣體？,氧氣,氮氣,二氧化碳,氫氣,C,5.4,理科,生物學
香港哪個大型購物商場以其頂層的巨型摩天輪作為特色？（該摩天輪已拆卸）,海港城,時代廣場,國際金融中心商場,新城市廣場（沙田）,D,7.1,地理,香港
成語「杞人憂天」是形容哪種人？,有遠見的人,過度擔憂不必要事情的人,關心國家大事的人,樂觀開朗的人,B,5.3,語言,成語
以下哪個不是聯合國安全理事會的常任理事國？,美國,英國,德國,法國,C,7.8,社會,政治
香港最先啓用的現代大學是哪一所？,香港中文大學,香港大學,香港理工大學,香港浸會大學,B,6.1,歷史,香港史
哪種動物被認為是狗的祖先？,狐狸,狼,豺,鬣狗,B,2.1,理科,動植物
香港的「蘭桂坊」以甚麼聞名？,特色美食街,酒吧及夜生活區,古董市集,電腦產品中心,B,2.3,地理,香港
中國四大發明包括造紙術、印刷術、火藥和甚麼？,指南針,地動儀,算盤,絲綢,A,4.7,歷史,中國史（隋～清中葉）
香港哪條主要幹道連接九龍東和沙田區，需要穿過獅子山隧道？,龍翔道,呈祥道,觀塘繞道,大埔公路,A,5.1,地理,交通
哪位藝術家以其「 Campbell's Soup Cans 」（金寶湯罐頭）系列作品聞名？,畢加索,達利,安迪華荷,梵高,C,5.8,文化,平面藝術
香港現行的免費電視廣播服務需要續牌，牌照有效期通常是多久？,5年,10年,12年,15年,C,7.2,社會,社會（其他）
以下哪種物質在室溫常壓下是液態金屬？,鐵 (Iron),鋁 (Aluminium),汞 (Mercury),鉛 (Lead),C,4.2,理科,化學
香港的「太平清醮」搶包山活動在哪個離島舉行？,南丫島,長洲,坪洲,東龍洲,B,3.6,文化,中華文化、風俗
在音樂記譜法中，「#」這個符號代表甚麼？,降半音 (Flat),升半音 (Sharp),還原記號 (Natural),休止符 (Rest),B,4.4,文化,樂理、樂器
香港島和九龍半島之間的海港名稱是？,吐露港,維多利亞港,將軍澳,鯉魚門,B,1.8,地理,香港
「臥薪嘗膽」這個成語與中國春秋時期哪位君主有關？,吳王夫差,越王勾踐,齊桓公,晉文公,B,5.6,歷史,中國史（～魏晉南北朝）
水的化學式 H₂O 中，數字「2」代表甚麼？,兩個氧原子,兩個氫原子,水分子的總原子數,水分子的電荷數,B,4.1,理科,化學
香港哪個著名地標俗稱「尖咀鐘樓」？,舊九廣鐵路鐘樓,立法會大樓鐘樓,香港大學本部大樓鐘樓,西港城鐘樓,A,2.6,地理,香港
意大利文藝復興時期的藝術大師達文西，除了是畫家，還在哪個領域有卓越貢獻？,音樂,文學,科學與工程,哲學,C,3.9,歷史,世界史（近世）
香港的士（計程車）按營運地區主要分為三種顏色，其中藍色的士主要在哪裡服務？,香港島,九龍,新界,大嶼山,D,6.3,地理,交通
「此地無銀三百兩」的下一句通常是甚麼？,欲蓋彌彰,畫蛇添足,隔壁王二不曾偷,此處不留爺自有留爺處,C,3.4,語言,諺語、俗語
香港哪間主題公園以海洋動物和機動遊戲為主題？,香港迪士尼樂園,香港海洋公園,挪亞方舟,史諾比開心世界,B,1.6,娛樂,娛樂（其他）
以下哪種自然災害與地球板塊移動直接相關？,颱風,龍捲風,地震,洪水,C,4.8,理科,地球科學
香港島連接南區的哪條隧道是以收費隧道形式營運？,香港仔隧道,海底隧道,東區海底隧道,西區海底隧道,A,5.3,地理,交通
「破釜沉舟」這個成語與哪場著名戰役有關？,赤壁之戰,巨鹿之戰,長平之戰,官渡之戰,B,5.9,歷史,中國史（～魏晉南北朝）
香港哪個地區以其傳統圍村文化而聞名？,元朗屏山,大埔林村,沙田曾大屋,荃灣三棟屋,A,4.2,文化,中華文化、風俗
以下哪個英文字母在莫爾斯電碼中是用單一個「點」（dot）來表示？,A,E,I,S,B,7.3,理科,科技、資訊科技
香港西貢區最著名的地質景觀是甚麼？,沉積岩,花崗岩,火山岩（六角柱石）,石灰岩,C,5.8,地理,香港
《西遊記》中，孫悟空的金箍棒是從哪裡得來的？,太上老君的煉丹爐,東海龍宮,如來佛祖手中,菩提祖師所贈,B,3.7,文學,中文文學（古典）
香港哪項大型基建工程連接屯門與港珠澳大橋香港口岸？,港珠澳大橋,屯門至赤鱲角連接路,深中通道,廣深港高速鐵路,B,4.9,地理,交通
人體最大的器官是甚麼？,心臟,肝臟,大腦,皮膚,D,3.2,理科,醫學、衛生
香港哪個地方在殖民時期曾是英國皇家空軍基地？,石崗機場,啟德機場,赤鱲角機場,沙田機場（臨時）,A,4.6,歷史,香港史
哪種棋類遊戲的目標是將對方的「王」將死（Checkmate）？,中國象棋,國際象棋（西洋棋）,圍棋,日本將棋,B,2.1,娛樂,遊戲（其他）
香港現時唯一仍在營運的纜車系統（不包括昂坪360）是？,海洋公園纜車,山頂纜車,柏架山吊車,筆架山吊車,B,3.9,地理,交通
「青出於藍而勝於藍」這句話源於哪位古代思想家的著作？,孔子,孟子,老子,荀子,D,7.8,文學,中文文學（古典）
香港哪種常見的街頭小食是用麵粉、豬油、糖等材料製成，外形像一個小碗？,雞蛋仔,砵仔糕,碗仔翅,豬腸粉,B,3.4,生活,飲食
在電腦編程中，「HTML」是一種用於創建網頁的標記語言，請問字母「T」代表甚麼？,Text,Tag,Transfer,Type,A,6.7,理科,科技、資訊科技
香港哪個郊野公園以其「千級石階」登山徑和猴子眾多而聞名？,獅子山郊野公園,金山郊野公園,城門郊野公園,大帽山郊野公園,B,5.1,地理,香港
《三國演義》中，「三顧茅廬」是劉備拜訪誰的故事？,司馬懿,周瑜,諸葛亮,龐統,C,4.5,文學,中文文學（古典）
香港哪條巴士路線因其途經彌敦道大部分路段，且班次頻密而被稱為「彌敦道皇」？,1A,2,6,9,A,6.2,地理,交通
以下哪種樂器不屬於銅管樂器？,小號 (Trumpet),長笛 (Flute),長號 (Trombone),法國號 (French Horn),B,5.3,文化,樂理、樂器
香港哪一區的區議會標誌包含一個「門」字的圖案？,中西區,東區,油尖旺區,屯門區,D,5.6,地理,香港
中國古代四大美女之一的貂蟬，在哪部文學作品中扮演重要角色？,《史記》,《漢書》,《三國演義》,《水滸傳》,C,5.9,文學,中文文學（古典）
香港賽馬運動中，一年一度最重要的賽事之一，通常在12月舉行的國際賽事總稱是？,香港打吡大賽,女皇盃,香港國際賽事,冠軍賽馬日,C,6.4,運動,車輛、動物運動
聲音在哪種介質中傳播速度最快？,空氣,水,真空,鋼鐵,D,4.8,理科,物理學
香港哪個地方的名稱意為「芬芳的海港」？,香港仔 (Aberdeen),銅鑼灣 (Causeway Bay),維多利亞港 (Victoria Harbour),香港 (Hong Kong),D,2.3,地理,香港
「小時偷針，大時偷金」這句俗語告誡人們甚麼？,要珍惜時間,要防微杜漸，勿以惡小而為之,要學會理財,要從小培養技能,B,3.1,語言,諺語、俗語
香港哪座建築物頂層設有公眾觀景台「天際100」？,國際金融中心二期 (Two IFC),中環廣場,環球貿易廣場 (ICC),合和中心,C,4.6,地理,香港
哪位畫家被認為是印象派的代表人物之一，作品包括《睡蓮》系列？,梵高,雷諾瓦,莫內,塞尚,C,5.8,文化,平面藝術
香港特區政府負責制定貨幣金融政策的機構是？,香港交易所,證券及期貨事務監察委員會,香港金融管理局,財政司司長辦公室,C,6.7,社會,經濟
地球上含量最豐富的金屬元素是甚麼？,鐵 (Iron),鋁 (Aluminium),矽 (Silicon),鎂 (Magnesium),B,5.2,理科,化學
香港哪個傳統節日會舉行龍舟競渡活動？,農曆新年,清明節,端午節,中秋節,C,2.9,文化,中華文化、風俗
以下哪個不是中國傳統的「六藝」（禮、樂、射、御、書、數）之一？,文,禮,樂,射,A,7.4,文化,中華文化、風俗
香港哪條街道以售賣廉價電子產品和二手音響器材聞名，俗稱「鴨記」？,通菜街,西洋菜南街,鴨寮街,花園街,C,3.7,地理,香港
著名科幻小說《基地》系列的作者是誰？,阿瑟克拉克,羅伯特海萊因,艾薩克阿西莫夫,菲利普狄克,C,8.1,文學,西方文學
香港公共交通工具中，哪種車輛的登記車牌通常以「AM」開頭？,政府車輛,巴士,小巴,的士,A,4.2,地理,交通
生物體內遺傳訊息的主要載體是甚麼分子？,蛋白質 (Protein),核糖核酸 (RNA),脫氧核糖核酸 (DNA),脂肪 (Lipid),C,5.5,理科,生物學
香港哪個地方以其大型戶外音樂及藝術節 Clockenflap 而聞名？,西九文化區,中環海濱活動空間,亞洲國際博覽館,啟德郵輪碼頭,B,5.9,娛樂,娛樂（其他）
成語「鷸蚌相爭」的寓意是甚麼？,兩敗俱傷，讓第三者得利,要團結合作,比喻實力相當,形容爭鬥激烈,A,4.8,語言,成語
香港現時（2025年）最長的港鐵線路是哪一條？（以總長度計）,東鐵線,屯馬線,荃灣線,港島線,B,6.3,地理,交通
以下哪種能源被認為是可再生的清潔能源？,煤炭,天然氣,核能,太陽能,D,4.9,理科,物理學
香港的「重慶大廈」位於哪個區域？,旺角,油麻地,尖沙咀,佐敦,C,3.5,地理,香港
「十年樹木，百年樹人」這句話強調甚麼的重要性？,環境保護,農業發展,人才培養,歷史傳承,C,3.8,語言,諺語、俗語
香港哪座大橋是連接青衣島和馬灣的懸索橋？,汀九橋,青馬大橋,汲水門大橋,昂船洲大橋,B,3.3,地理,交通
法國的國慶日（巴士底日）是為了紀念哪件歷史事件？,法國大革命爆發（攻陷巴士底監獄）,拿破崙稱帝,第二次世界大戰勝利,路易十四登基,A,8.1,歷史,世界史（近現代）
香港哪間博物館專門展示香港的歷史發展？,香港藝術館,香港科學館,香港文化博物館,香港歷史博物館,D,2.3,歷史,香港史
哪種鳥類以其模仿人類說話的能力而聞名？,鴿子,烏鴉,鸚鵡,麻雀,C,1.8,理科,動植物
香港哪條著名的行山徑全長約100公里，橫跨新界東西？,麥理浩徑,衛奕信徑,港島徑,鳳凰徑,A,5.1,運動,極限運動
《水滸傳》中的梁山泊一百零八將中，為首的頭領是誰？,林沖,武松,宋江,盧俊義,C,6.4,文學,中文文學（古典）
香港的公共小巴若座位坐滿，可以在車頭掛出甚麼字樣的牌子？,請等候,客滿 / FULL,停站,暫停服務,B,2.9,生活,生活
計算機術語「Wi-Fi」是一種甚麼技術的品牌名稱？,藍牙連接,無線區域網路（WLAN）,行動數據網路（Mobile Data）,衛星定位（GPS）,B,4.7,理科,科技、資訊科技
「物競天擇，適者生存」是哪位科學家提出的進化論核心思想？,孟德爾,達爾文,拉馬克,華萊士,B,3.6,理科,生物學
香港哪條海底隧道是採用「沉管法」建造的？,海底隧道（紅隧）,東區海底隧道,西區海底隧道,所有以上隧道均有使用,D,7.8,地理,交通
哪種傳統中國戲曲以其高亢的唱腔和豐富的面譜藝術聞名？,京劇,粵劇,崑曲,越劇,A,4.2,文化,傳統音樂
以下哪種棋盤遊戲沒有「吃子」的規則？,國際象棋,中國象棋,圍棋,日本將棋,C,6.1,娛樂,遊戲（其他）
香港的士收費中，跳錶的「錶」指的是甚麼？,計時器,咪錶（計程錶）,速度計,全球定位系統,B,2.6,生活,生活
「鞠躬盡瘁，死而後已」這句話常被用來形容誰？,關羽,岳飛,諸葛亮,文天祥,C,5.8,歷史,中國史（～魏晉南北朝）
香港哪種傳統食品是用糯米粉包裹花生、芝麻等餡料，在糖水中煮熟而成？,湯圓,糖不甩,芝麻卷,馬蹄糕,A,3.1,生活,飲食
"互聯網域名中，"".hk"" 代表哪個地區？",韓國 (South Korea),哈薩克斯坦 (Kazakhstan),香港 (Hong Kong),匈牙利 (Hungary),C,1.5,理科,科技、資訊科技
香港哪個區域的山頂可以同時俯瞰維多利亞港和香港島南區的景色？,太平山頂,飛鵝山頂,大帽山頂,獅子山頂,A,1.9,地理,香港
《老人與海》是哪位美國著名作家的代表作？,馬克吐溫,福克納,海明威,費茲傑羅,C,5.5,文學,西方文學
香港哪條主要的離島渡輪航線提供「快船」和「慢船（普通渡輪）」兩種服務選擇？,中環至長洲,中環至南丫島榕樹灣,中環至梅窩,以上皆是,D,4.9,地理,交通
人體消化系統中，主要負責吸收營養的器官是？,胃,小腸,大腸,食道,B,3.8,理科,醫學、衛生
香港的「美利樓」原址位於哪個區域，後來才搬遷至赤柱？,尖沙咀,中環,灣仔,金鐘,B,6.8,歷史,香港史
哪個節日也被稱為「中國情人節」？,元宵節,七夕節,端午節,重陽節,B,3.4,文化,中華文化、風俗
香港哪條街道因聚集了眾多售賣中藥材和海味的店舖而被稱為「海味街」或「藥材街」？,德輔道西（近西營盤）,皇后大道中,彌敦道,干諾道西,A,2.3,地理,香港
莫札特是哪個國家的著名作曲家？,德國,意大利,奧地利,法國,C,3.2,文化,古典樂
香港立法會的會議廳採用甚麼形狀的設計，寓意是甚麼？,長方形，代表效率,圓形，代表包容,馬蹄形/半圓形，代表公開透明,正方形，代表公正,C,5.8,社會,政治
地球的天然衛星是甚麼？,太陽,月球,金星,火星,B,1.1,理科,天文學
香港的「油麻地警署」因其獨特的建築風格，在哪個領域經常出現？,音樂MV,電視劇和電影場景,廣告拍攝地,婚紗照熱點,B,3.7,娛樂,電影（香港）
「指鹿為馬」這個成語與中國哪個朝代的宦官趙高有關？,漢朝,唐朝,宋朝,秦朝,D,4.6,歷史,中國史（～魏晉南北朝）
香港的士按車身顏色區分營運範圍，紅色的士可以在哪些區域營運？,只限香港島,只限九龍,港九新界（除大嶼山指定範圍）,只限新界,C,2.9,地理,交通
哪種金屬具有良好的導電性，常被用來製作電線？,鐵 (Iron),鉛 (Lead),鋁 (Aluminium),銅 (Copper),D,3.4,理科,化學
香港哪個地方以其許願樹而聞名，市民會將寶牒拋上樹許願？,黃大仙祠,車公廟,林村（大埔）,天壇大佛,C,2.1,文化,中華文化、風俗
國際標準組織（ISO）制定的紙張尺寸標準中，A4 紙張的長寬比例約是多少？,黃金比例 (1.618:1),3:2,4:3,根號2:1 (√2:1),D,6.3,理科,數學、電腦科學
香港哪個港鐵站是唯一一個直接以大學名稱命名的車站？,香港大學站,大學站（中文大學）,科技大學站（未建成）,城市大學站（未建成）,B,2.7,地理,交通
《詩經》是中國最早的一部甚麼集？,詩歌總集,散文總集,小說總集,戲曲總集,A,4.1,文學,中文文學（古典）
「光纖」通訊是利用光的甚麼原理來傳輸訊號？,折射 (Refraction),衍射 (Diffraction),全內反射 (Total Internal Reflection),干涉 (Interference),C,7.5,理科,物理學
香港哪個區域是著名的酒吧和異國餐廳集中地，充滿歐陸風情？,蘭桂坊及蘇豪區（中環）,諾士佛臺（尖沙咀）,赤柱大街,鯉魚門海鮮街,A,1.9,地理,香港
古希臘哲學家蘇格拉底、柏拉圖和誰被並稱為「希臘三哲」？,亞里士多德,畢達哥拉斯,赫拉克利特,第歐根尼,A,4.8,社會,倫理、哲學
哪種烹飪方法是將食材快速放入高溫熱油中煮熟？,煎 (Pan-frying),炒 (Stir-frying),炸 (Deep-frying),焗 (Baking),C,1.6,生活,飲食
香港的「星光大道」位於哪個海濱？,中環海濱,尖沙咀海濱,荃灣海濱,觀塘海濱,B,1.4,地理,香港
成語「邯鄲學步」比喻甚麼？,學習能力強,模仿別人不成，反而失去自己原有的技能,走路姿勢優美,比喻進步神速,B,4.3,語言,成語
"香港哪條街道的英文名稱是 ""Nathan Road""？",廣東道,彌敦道,皇后大道,軒尼詩道,B,1.8,地理,香港
提出「大陸漂移學說」的德國科學家是誰？,洪堡,韋格納,哈勃,普朗克,B,5.2,理科,地球科學
香港哪種傳統餅食因其外形像女性的耳朵而得名？,雞仔餅,老婆餅,耳仔餅/牛耳,馬仔（沙琪瑪）,C,4.2,生活,飲食
英國的國家元首是誰？（職位名稱）,首相 (Prime Minister),總統 (President),國王/女王 (King/Queen),議長 (Speaker),C,2.3,社會,政治
香港哪座離島的山徑被稱為「鳳凰徑」？,南丫島,長洲,坪洲,大嶼山,D,5.7,運動,極限運動
《論語》主要記錄了誰及其弟子的言行？,老子,孔子,孟子,莊子,B,4.8,文學,中文文學（古典）
香港的緊急求助電話號碼是？,110,119,999,112,C,1.8,生活,生活
「QR Code」是一種二維條碼，請問字母「QR」代表甚麼？,Quality Response,Quick Response,Query Record,Quantitative Reading,B,6.1,理科,科技、資訊科技
香港哪個地區以其「書局街」和舊式印刷店舖集中而聞名？,旺角西洋菜南街,北角書局街一帶,中環擺花街,灣仔莊士敦道,B,7.3,地理,香港
貝多芬的《命運交響曲》是指他的第幾號交響曲？,第三號,第五號,第六號（田園）,第九號（合唱）,B,6.5,文化,古典樂
香港金融市場上，藍籌股通常指甚麼樣的股票？,股價低於一元的股票,市值大、信譽好、業績穩定的公司股票,科技行業的股票,新上市公司的股票,B,7.6,社會,商業、金融
哪種天氣現象是指空氣中的水蒸氣在高空凝結成的小冰晶或水滴？,雨,雪,雲,霧,C,3.1,理科,地球科學
香港哪個著名海灘旁邊設有一座有濃厚中國古典色彩的建築物「鎮海樓公園」？,淺水灣,深水灣,石澳泳灘,赤柱正灘,A,5.9,地理,香港
成語「望梅止渴」與哪位歷史人物有關？,劉備,曹操,孫權,諸葛亮,B,5.2,歷史,中國史（～魏晉南北朝）
香港賽馬的投注種類中，「獨贏」是指投注於哪匹馬？,跑第一名的馬,跑第一或第二名的馬,跑第一、第二或第三名的馬,跑最後一名的馬,A,6.8,運動,車輛、動物運動
元素週期表是由哪位俄國化學家首先發表的？,拉瓦錫,道爾頓,門得列夫,波耳,C,7.1,理科,化學
香港哪個地區每年農曆新年都會舉辦大型花車巡遊匯演？（疫情前常規活動）,中環,尖沙咀,銅鑼灣,旺角,B,4.6,文化,中華文化、風俗
